modelo,r2,mse,hidden_layer_sizes,activation,alpha,learning_rate_init
1,0.8182825629890407,0.009305628625267529,"(10,)",relu,0.01,0.0001
2,0.7830566594550168,0.011109523626589589,"(10,)",tanh,0.1,0.0001
3,0.7045607078442643,0.015129248900574056,"(5,)",tanh,0.01,0.0001
4,0.7316866640376144,0.013740146794619478,"(3,)",tanh,0.001,0.001
5,0.7303391530318852,0.013809151933554052,"(5,)",tanh,0.01,0.001
6,0.7154956888144988,0.01456927582585348,"(5,)",tanh,0.001,0.0001
7,0.7235943592030037,0.014154548322354002,"(3,)",relu,0.001,0.001
8,0.7722024319085454,0.011665361372394469,"(10,)",tanh,0.1,0.001
9,0.7310259548576901,0.0137739812705994,"(3,)",tanh,0.001,0.001
10,0.802398430964187,0.010119044421183105,"(3,)",tanh,0.1,0.0001
11,0.8391075150003925,0.008239196736593188,"(5, 5)",relu,0.01,0.001
12,0.7942802980187895,0.01053476858922682,"(5, 5)",relu,0.001,0.0001
13,0.7935148724650678,0.010573965520794782,"(3,)",relu,0.001,0.0001
14,0.757951351364727,0.012395149692276787,"(5, 5)",relu,0.001,0.0001
15,0.7291659383883974,0.01386923147214762,"(5,)",tanh,0.1,0.0001
16,0.7583303754093004,0.012375740124010458,"(5, 5)",relu,0.001,0.001
17,0.7102452289669066,0.014838148369167114,"(5, 5)",tanh,0.01,0.0001
18,0.7532921846957754,0.012633742506690483,"(3,)",tanh,0.001,0.001
19,0.8230957517966293,0.009059148439967468,"(5, 5)",tanh,0.001,0.001
20,0.7830451302604423,0.011110114028946254,"(3,)",relu,0.1,0.001
21,0.7062761001439342,0.015041404806193565,"(5,)",relu,0.1,0.0001
22,0.8027419646162797,0.01010145229222047,"(10,)",relu,0.1,0.0001
23,0.7062978607781152,0.015040290458645689,"(10,)",tanh,0.1,0.001
24,0.8062140711369596,0.009923648035456327,"(10,)",tanh,0.1,0.0001
25,0.7574145974079565,0.012422636504038,"(3,)",relu,0.001,0.001
26,0.9208699864090624,0.004052195164656808,"(3,)",relu,0.01,0.001
27,0.7830492729990302,0.011109901882069078,"(5, 5)",tanh,0.01,0.0001
28,0.7413425112604942,0.013245677305084353,"(10,)",relu,0.001,0.001
29,0.7424778881254599,0.013187535413866426,"(5,)",relu,0.001,0.001
30,0.8530970933771114,0.007522799768095512,"(10,)",relu,0.1,0.001
31,0.7245508098602496,0.014105569122772922,"(5, 5)",tanh,0.01,0.001
32,0.7845917511733056,0.011030912604603526,"(5,)",relu,0.01,0.001
33,0.7273425492411199,0.013962606012989752,"(5, 5)",relu,0.01,0.001
34,0.8441034539141847,0.007983358040367965,"(3,)",relu,0.1,0.001
35,0.7064896664646093,0.015030468217499836,"(10,)",tanh,0.01,0.001
36,0.7897889224708321,0.010764768932360535,"(5,)",tanh,0.1,0.001
37,0.7590387491149537,0.01233946477949128,"(3,)",tanh,0.001,0.0001
38,0.7305818675259783,0.01379672268636044,"(5, 5)",tanh,0.001,0.0001
39,0.8247865738703766,0.008972562570452107,"(10,)",relu,0.001,0.0001
40,0.8722654661378613,0.006541200196825557,"(5, 5)",relu,0.01,0.001
41,0.7693892765324608,0.011809421180994121,"(5, 5)",relu,0.001,0.0001
42,0.9115049934649502,0.004531770200765774,"(10,)",tanh,0.001,0.0001
43,0.7218281367830369,0.014244995393258053,"(5, 5)",tanh,0.001,0.0001
44,0.7213541779037578,0.014269266511026208,"(3,)",relu,0.01,0.001
45,0.748283858308252,0.01289021555717496,"(3,)",tanh,0.001,0.0001
46,0.900014163544031,0.005120207929137091,"(10,)",tanh,0.01,0.001
47,0.7476173963197683,0.01292434463064033,"(10,)",relu,0.001,0.0001
48,0.7151138599777017,0.014588829025656955,"(5, 5)",tanh,0.01,0.0001
49,0.7335809243729728,0.013643142987553031,"(5, 5)",relu,0.1,0.0001
50,0.8732572866952086,0.006490409728275072,"(5,)",relu,0.001,0.0001
51,0.7993751356942048,0.010273865353448866,"(5,)",tanh,0.01,0.0001
52,0.7329810131129351,0.013673864042647433,"(5,)",tanh,0.01,0.0001
53,0.7861607950407203,0.010950562915728953,"(10,)",relu,0.001,0.0001
54,0.7813129657459761,0.011198817017248461,"(3,)",relu,0.001,0.001
55,0.7741915480059657,0.011563500065083498,"(5,)",relu,0.001,0.0001
56,0.7911590827714192,0.010694603938158138,"(3,)",tanh,0.1,0.0001
57,0.7734606356294335,0.01160092959989039,"(10,)",tanh,0.1,0.0001
58,0.7354267900539788,0.013548617438425175,"(5, 5)",tanh,0.001,0.001
59,0.7857647742291889,0.01097084287708328,"(3,)",tanh,0.1,0.0001
60,0.8444994605615905,0.007963078804349061,"(5,)",tanh,0.01,0.0001
61,0.7987977383346726,0.010303433486729841,"(10,)",tanh,0.001,0.0001
62,0.7048947565606406,0.015112142488836815,"(5,)",relu,0.1,0.0001
63,0.8150221224805336,0.00947259360686759,"(10,)",relu,0.1,0.0001
64,0.7416727595313828,0.013228765511623162,"(5, 5)",relu,0.001,0.0001
65,0.7366131087259133,0.013487866851283782,"(5,)",relu,0.001,0.001
66,0.8374595588468572,0.008323587470954024,"(10,)",tanh,0.01,0.0001
67,0.823368469273676,0.009045182760048351,"(5, 5)",relu,0.1,0.001
68,0.7143456257382397,0.01462816978814646,"(3,)",tanh,0.01,0.0001
69,0.7101477150185764,0.014843141993355687,"(5,)",relu,0.001,0.001
70,0.7682134375668562,0.011869635109371146,"(5, 5)",tanh,0.1,0.001
71,0.7565287819604163,0.012467998521689812,"(10,)",relu,0.1,0.0001
72,0.7565966853474495,0.012464521234575693,"(3,)",relu,0.001,0.0001
73,0.7218610280228932,0.014243311054824926,"(5, 5)",relu,0.001,0.001
74,0.825827649319367,0.008919249791785717,"(5,)",tanh,0.01,0.0001
75,0.7464740276154413,0.01298289577861618,"(3,)",relu,0.1,0.0001
76,0.8160241312853118,0.009421281404968375,"(10,)",tanh,0.01,0.0001
77,0.8342930245208922,0.00848574357964279,"(10,)",relu,0.01,0.0001
78,0.7281090216924693,0.013923355470493238,"(5, 5)",tanh,0.01,0.0001
79,0.9001453570985896,0.0051134895947998185,"(5,)",tanh,0.01,0.0001
80,0.7185852655218952,0.014411060665430686,"(10,)",relu,0.01,0.0001
81,0.8215039539777731,0.009140663343503627,"(5,)",relu,0.001,0.0001
82,0.8455271161779055,0.007910453246354199,"(3,)",tanh,0.01,0.0001
83,0.7783103857245359,0.011352577135466972,"(10,)",tanh,0.1,0.0001
84,0.7845297625831977,0.011034086998916124,"(10,)",relu,0.01,0.0001
85,0.8536223734872725,0.007495900524358629,"(5,)",relu,0.001,0.001
86,0.7473741393679074,0.012936801656734066,"(3,)",relu,0.01,0.0001
87,0.7639856963250616,0.012086134915702306,"(5,)",relu,0.001,0.0001
88,0.7010489294247095,0.015309084728792539,"(5,)",tanh,0.01,0.001
89,0.7375937729297225,0.013437647692149425,"(5, 5)",tanh,0.1,0.001
90,0.8307008741913298,0.008669695199712269,"(5,)",relu,0.001,0.001
91,0.8147234834383887,0.009487886712828793,"(5, 5)",relu,0.1,0.0001
92,0.8409023635908773,0.00814728373860924,"(5,)",relu,0.01,0.0001
93,0.7096689599708768,0.014867658719706483,"(3,)",relu,0.001,0.0001
94,0.7055840079834806,0.015076846383653473,"(5,)",relu,0.1,0.0001
95,0.7804527498498436,0.011242868098964286,"(5,)",tanh,0.1,0.001
96,0.7163153842061287,0.014527299772119619,"(3,)",relu,0.01,0.001
97,0.7393208696713337,0.013349204221111619,"(5,)",relu,0.01,0.0001
98,0.7266601457206172,0.013997551441666416,"(3,)",relu,0.1,0.001
