modelo,r2,mse,hidden_layer_sizes,activation,alpha,learning_rate_init
1,0.8943880792270094,0.008354816625072876,"(3,)",tanh,0.01,0.0001
2,0.9406924807456833,0.00469173786662647,"(3,)",tanh,0.1,0.001
3,0.8112148195508395,0.01493454103135109,"(5,)",tanh,0.01,0.001
4,0.9511189202703212,0.0038669162968341386,"(5,)",tanh,0.1,0.001
5,0.9549572209939874,0.0035632735028824428,"(5,)",relu,0.001,0.001
6,0.7514617481864958,0.019661525924534264,"(5,)",relu,0.01,0.001
7,0.7713447599446887,0.018088607678392935,"(10,)",tanh,0.01,0.0001
8,0.8815911082023994,0.009367167744950722,"(10,)",relu,0.01,0.0001
9,0.8891043945398909,0.008772801795141578,"(10,)",relu,0.1,0.0001
10,0.9043192233455064,0.007569177206909451,"(5, 5)",tanh,0.1,0.0001
11,0.8929546446292155,0.008468213702987455,"(5, 5)",tanh,0.1,0.001
12,0.7257528796148409,0.02169531984649091,"(5, 5)",relu,0.01,0.001
13,0.919064828140058,0.006402672297401361,"(5, 5)",relu,0.1,0.001
14,0.9277017350337782,0.005719418240693446,"(3,)",tanh,0.001,0.001
15,0.8582459666774023,0.01121397040794713,"(3,)",tanh,0.01,0.0001
16,0.7119919846590359,0.02278392568862653,"(3,)",tanh,0.01,0.001
17,0.8414597609657427,0.012541904504071754,"(3,)",tanh,0.1,0.0001
18,0.9064803408296748,0.0073982141172003356,"(3,)",tanh,0.1,0.001
19,0.8669238398761812,0.010527475562092816,"(3,)",relu,0.01,0.0001
20,0.9448468646292925,0.0043630901601585705,"(3,)",relu,0.1,0.0001
21,0.9081459853604628,0.007266447224642804,"(5,)",tanh,0.01,0.001
22,0.8584900740370984,0.011194659403922539,"(5,)",relu,0.01,0.0001
23,0.7656840539612495,0.018536418494766057,"(5,)",relu,0.01,0.001
24,0.7988066968921755,0.015916130881396328,"(5,)",relu,0.1,0.001
25,0.7448448317574037,0.02018498125972627,"(10,)",tanh,0.01,0.0001
26,0.9317027467763158,0.00540290359746944,"(10,)",tanh,0.01,0.001
27,0.7595516348244198,0.01902154590255584,"(10,)",relu,0.001,0.0001
28,0.8254416887901759,0.013809072592054003,"(10,)",relu,0.01,0.0001
29,0.7804219185129755,0.01737052590542948,"(5, 5)",tanh,0.001,0.0001
30,0.9453278031936527,0.00432504375892142,"(5, 5)",relu,0.001,0.001
