modelo,r2,mse,hidden_layer_sizes,activation,alpha,learning_rate_init
1,0.8150416923370232,0.005890711731072842,"(10,)",relu,0.001,0.001
2,0.8185242123621718,0.005779797429222613,"(3,)",relu,0.1,0.001
3,0.7565384107104564,0.007753974710380796,"(5, 5)",relu,0.01,0.0001
4,0.8471746038473601,0.004867315046819134,"(5, 5)",relu,0.1,0.001
5,0.9017858272108044,0.0031280096964400304,"(5,)",relu,0.01,0.0001
6,0.8869461604977537,0.0036006362029015015,"(10,)",tanh,0.1,0.001
7,0.829550516383962,0.0054286221872329975,"(3,)",relu,0.001,0.0001
8,0.8254668816325301,0.005558681309419114,"(5,)",relu,0.1,0.001
9,0.7386690292274696,0.008323094186325897,"(3,)",tanh,0.01,0.0001
10,0.7055843586232906,0.009376803315206133,"(5,)",relu,0.01,0.001
11,0.8306085652497096,0.005394924534263203,"(10,)",tanh,0.1,0.001
12,0.7686092643697142,0.007369531750488341,"(5,)",tanh,0.1,0.0001
13,0.7662512985550858,0.007444630279779661,"(10,)",tanh,0.1,0.001
14,0.7625232132393505,0.007563365556833877,"(5, 5)",tanh,0.001,0.001
15,0.7524841652746463,0.007883097816291193,"(10,)",relu,0.1,0.0001
16,0.7348100902570881,0.008445997003450181,"(10,)",tanh,0.01,0.0001
17,0.7083105833489292,0.009289976158449688,"(5, 5)",tanh,0.1,0.0001
18,0.7207446365048784,0.008893965707683677,"(10,)",tanh,0.1,0.0001
19,0.7068959972082163,0.009335029118108545,"(5, 5)",relu,0.1,0.0001
20,0.7586128342305997,0.007687906680673322,"(5, 5)",tanh,0.1,0.0001
21,0.7082865465029582,0.009290741704654817,"(10,)",tanh,0.1,0.001
22,0.8066376077563442,0.006158372266324614,"(3,)",tanh,0.001,0.0001
23,0.7175364612402424,0.008996142440945995,"(5,)",relu,0.1,0.0001
24,0.791684003748222,0.006634627546044041,"(5,)",relu,0.01,0.001
25,0.7662887908557928,0.007443436192645155,"(10,)",tanh,0.01,0.001
26,0.850476367225611,0.004762157638583492,"(3,)",tanh,0.001,0.0001
27,0.9688971978429288,0.0009905888729785967,"(5,)",relu,0.01,0.001
28,0.7471595383436157,0.008052681127917087,"(3,)",tanh,0.1,0.001
29,0.7670869717456733,0.00741801503913793,"(5, 5)",relu,0.01,0.001
30,0.7943580052820287,0.006549463638549797,"(3,)",tanh,0.1,0.0001
