modelo,r2,mse,hidden_layer_sizes,activation,alpha,learning_rate_init
1,0.7925861303689472,0.01212681607966963,"(10,)",tanh,0.01,0.0001
2,0.7836317501618346,0.012650349641201679,"(10,)",tanh,0.1,0.001
3,0.7486033619618357,0.014698345862593519,"(10,)",relu,0.001,0.001
4,0.7690229606068495,0.013504478173662071,"(10,)",relu,0.1,0.0001
5,0.7804201284083063,0.012838122746210425,"(5, 5)",tanh,0.001,0.001
6,0.8044409223787061,0.011433704849351205,"(5, 5)",tanh,0.01,0.001
7,0.7474174244519856,0.01476768378145842,"(5, 5)",tanh,0.1,0.001
8,0.8082347130902731,0.011211894213998002,"(5, 5)",relu,0.01,0.001
9,0.793128392206325,0.012095111789206305,"(3,)",tanh,0.1,0.001
10,0.7708565561462158,0.013397273790898513,"(3,)",relu,0.1,0.0001
11,0.7279782186375721,0.01590423108210694,"(5,)",tanh,0.1,0.0001
12,0.7053723105590152,0.017225925190944565,"(5,)",tanh,0.1,0.001
13,0.8464981432879537,0.008974755581900076,"(10,)",relu,0.001,0.0001
14,0.733391075758816,0.015587758886242623,"(10,)",relu,0.01,0.0001
15,0.7292085462128435,0.015832297820124023,"(5, 5)",tanh,0.001,0.0001
16,0.9235546546081755,0.004469511346384351,"(5, 5)",tanh,0.1,0.0001
17,0.7676832182158916,0.013582808564962245,"(5, 5)",relu,0.001,0.001
18,0.7501489951657998,0.01460797770339354,"(3,)",tanh,0.001,0.001
19,0.7075117277581611,0.017100840407859072,"(3,)",tanh,0.01,0.001
20,0.736278042378298,0.01541896731369794,"(3,)",tanh,0.1,0.001
21,0.8044418701276892,0.011433649437542793,"(3,)",relu,0.001,0.001
22,0.7306066653739428,0.015750554328455537,"(5,)",tanh,0.001,0.001
23,0.7540301693399164,0.014381058040468409,"(5,)",tanh,0.1,0.0001
24,0.8271228930665754,0.01010756360650412,"(10,)",tanh,0.001,0.001
25,0.7849103256140393,0.012575595482376876,"(10,)",tanh,0.01,0.0001
26,0.8247562504024246,0.010245933525379398,"(10,)",tanh,0.01,0.001
27,0.7740316154009232,0.013211638376582298,"(5, 5)",tanh,0.001,0.0001
28,0.7642460012860368,0.01378377148807062,"(5, 5)",tanh,0.01,0.001
29,0.8116872610457335,0.011010034935558306,"(5, 5)",tanh,0.1,0.001
30,0.8576165229973022,0.008324699989769063,"(3,)",tanh,0.001,0.001
31,0.7348221134437771,0.015504090755275928,"(3,)",tanh,0.1,0.001
32,0.8138575298459583,0.01088314635944435,"(3,)",relu,0.001,0.001
33,0.7282597519427925,0.015887770743081484,"(5,)",tanh,0.001,0.001
34,0.7462703594411612,0.014834748951412756,"(5,)",tanh,0.01,0.0001
35,0.8094988713715928,0.011137982980383656,"(5,)",tanh,0.01,0.001
36,0.7351123534610609,0.015487121363041837,"(5,)",tanh,0.1,0.0001
