modelo,r2,mse,hidden_layer_sizes,activation,alpha,learning_rate_init
1,0.7745211599941457,0.012939318501031416,"(10,)",tanh,0.01,0.001
2,0.7304717775753145,0.01546713436559854,"(5,)",tanh,0.1,0.0001
3,0.7256955895382096,0.01574122047599059,"(5,)",tanh,0.1,0.001
4,0.7187438542194826,0.01614015244415905,"(5, 5)",relu,0.01,0.001
5,0.7879417759485448,0.012169163641668626,"(10,)",tanh,0.1,0.0001
6,0.766202388556401,0.013416699142015142,"(5,)",relu,0.1,0.001
7,0.7071728115874597,0.016804167772607924,"(3,)",relu,0.01,0.001
8,0.7456761066321953,0.014594619426917999,"(10,)",relu,0.001,0.001
9,0.7515866219187917,0.014255438864358337,"(5, 5)",tanh,0.1,0.001
10,0.7814774594746523,0.01254012461408177,"(5,)",tanh,0.001,0.0001
11,0.7291956708720868,0.01554036496707731,"(10,)",tanh,0.1,0.0001
12,0.8476719063346217,0.008741493084406948,"(3,)",tanh,0.001,0.001
13,0.7182104680421353,0.016170761319176177,"(3,)",tanh,0.1,0.001
14,0.7160837953683479,0.016292802460920835,"(5, 5)",tanh,0.01,0.001
15,0.7212499737930762,0.015996336379806613,"(5, 5)",tanh,0.01,0.001
16,0.7169916238193024,0.01624070585854833,"(5, 5)",tanh,0.1,0.001
17,0.7507520174305945,0.014303333439720239,"(5, 5)",relu,0.1,0.001
18,0.7776643471291339,0.012758943706452466,"(5, 5)",relu,0.001,0.001
19,0.831169413090344,0.009688504414353845,"(5, 5)",relu,0.01,0.001
20,0.7112711184543539,0.016568982520349527,"(5,)",tanh,0.01,0.001
21,0.715820616979038,0.01630790520405088,"(10,)",tanh,0.001,0.0001
22,0.7303482601823854,0.015474222529115282,"(5, 5)",tanh,0.001,0.001
23,0.7117639371512265,0.016540701648929696,"(5,)",tanh,0.001,0.0001
24,0.8079707771801825,0.011019780284068503,"(10,)",relu,0.1,0.001
25,0.7440061298008853,0.014690452641729211,"(3,)",tanh,0.001,0.001
26,0.70229245793246,0.017084231526431008,"(3,)",tanh,0.01,0.001
27,0.7197330634180058,0.01608338572989217,"(10,)",relu,0.1,0.0001
28,0.8170651580073616,0.010497890557788691,"(5, 5)",tanh,0.01,0.0001
29,0.7258717443936837,0.0157311116614321,"(10,)",tanh,0.001,0.001
30,0.7644029670165284,0.013519960665009595,"(5, 5)",tanh,0.1,0.0001
31,0.7384896472239179,0.015007021261059161,"(5, 5)",relu,0.1,0.0001
32,0.7523794654081565,0.014209940783784155,"(10,)",relu,0.01,0.0001
33,0.7381889942452149,0.015024274519278963,"(3,)",tanh,0.001,0.0001
34,0.821679580267205,0.010233087530964479,"(5,)",tanh,0.001,0.0001
35,0.7193834236577707,0.016103450141338443,"(10,)",tanh,0.01,0.0001
36,0.793205001184756,0.011867128436625726,"(5,)",tanh,0.1,0.001
37,0.740233956762846,0.01490692239285498,"(5, 5)",relu,0.001,0.0001
38,0.783616565973966,0.01241736994538857,"(5, 5)",tanh,0.1,0.001
39,0.7602465004751697,0.013758483465712864,"(3,)",tanh,0.001,0.001
40,0.7953450268012062,0.011744321023518156,"(3,)",relu,0.001,0.001
41,0.7009229853683541,0.017162820016973755,"(10,)",relu,0.001,0.001
42,0.7501684250536449,0.01433682344543398,"(5, 5)",relu,0.1,0.001
43,0.7204404239518793,0.01604279317033043,"(5, 5)",relu,0.001,0.001
44,0.7082794363197444,0.01674066305583814,"(5, 5)",relu,0.01,0.001
45,0.7217418477486166,0.015968109723270084,"(10,)",tanh,0.01,0.0001
46,0.7414697214644321,0.014836006855655386,"(3,)",tanh,0.01,0.001
47,0.790226614562114,0.012038045996466714,"(5,)",relu,0.01,0.0001
48,0.7691551224816775,0.013247253686703408,"(10,)",relu,0.001,0.0001
49,0.7377857939600987,0.015047412552580394,"(5, 5)",tanh,0.1,0.001
50,0.7429834541491926,0.014749139860362047,"(5, 5)",relu,0.01,0.001
51,0.7171543552981097,0.01623136735727532,"(5,)",tanh,0.1,0.001
52,0.7008549234011071,0.017166725817943786,"(5,)",tanh,0.001,0.001
53,0.7080315730292517,0.016754886927401062,"(5,)",tanh,0.001,0.001
54,0.7045497383624371,0.016954695333904646,"(5, 5)",tanh,0.01,0.001
55,0.70788890026414,0.01676307434023836,"(3,)",tanh,0.001,0.0001
56,0.8171958218905018,0.010490392286108347,"(5,)",relu,0.01,0.001
57,0.7094003626806935,0.016676337626453527,"(10,)",relu,0.01,0.001
58,0.7431499061469079,0.014739587853559477,"(5, 5)",tanh,0.1,0.001
59,0.7952132648736809,0.01175188230752385,"(5,)",tanh,0.1,0.0001
60,0.7067992129171671,0.016825607088981703,"(10,)",tanh,0.01,0.001
61,0.7372486293326961,0.01507823825756127,"(3,)",relu,0.001,0.001
62,0.7337970543326586,0.015276310184197596,"(10,)",tanh,0.001,0.0001
63,0.8434578511739387,0.008983320663010674,"(5, 5)",relu,0.01,0.001
64,0.711424569861276,0.016560176564861438,"(5,)",relu,0.01,0.001
65,0.7011548790990296,0.017149512573847277,"(10,)",relu,0.01,0.001
66,0.733465340203143,0.015295345916211218,"(3,)",relu,0.1,0.001
67,0.72238005584548,0.015931485542326818,"(3,)",tanh,0.1,0.001
68,0.7247090314194831,0.015797835055512337,"(10,)",relu,0.01,0.001
69,0.7228085729278668,0.015906894680443758,"(5, 5)",tanh,0.1,0.0001
70,0.7536421697232398,0.014137479291144466,"(10,)",tanh,0.01,0.0001
71,0.7643781155204478,0.013521386791838202,"(5,)",tanh,0.1,0.0001
72,0.7883662328922968,0.01214480577471739,"(5, 5)",relu,0.01,0.001
73,0.8436486840397754,0.008972369536814252,"(10,)",relu,0.1,0.0001
74,0.7823128717585176,0.012492183682594244,"(5, 5)",tanh,0.01,0.0001
75,0.7367548926676682,0.015106571807460084,"(5,)",relu,0.001,0.001
76,0.7676071000439582,0.013336088432207125,"(5, 5)",tanh,0.1,0.001
77,0.7378360376439825,0.01504452927081249,"(3,)",tanh,0.001,0.0001
78,0.7795074992634691,0.012653172661544662,"(10,)",tanh,0.1,0.001
79,0.7693574643717705,0.013235642104162242,"(10,)",relu,0.1,0.001
80,0.781579904591157,0.012534245703265596,"(5,)",tanh,0.001,0.0001
81,0.8207454027059937,0.01028669620218487,"(5, 5)",tanh,0.1,0.0001
82,0.7225840995944409,0.01591977629698973,"(5,)",tanh,0.1,0.0001
83,0.7149356945104746,0.01635868732475526,"(5,)",tanh,0.1,0.001
84,0.7009475821554387,0.01716140850686407,"(10,)",tanh,0.001,0.001
85,0.7473397985181072,0.01449914687969877,"(5,)",tanh,0.001,0.0001
86,0.7223976694500308,0.015930474768813752,"(10,)",tanh,0.01,0.001
87,0.7025554537061349,0.017069139262873515,"(3,)",tanh,0.001,0.001
88,0.8063471702848781,0.011112952515832107,"(3,)",relu,0.001,0.0001
89,0.7303549454105628,0.015473838890913855,"(10,)",tanh,0.001,0.001
90,0.7359924164622198,0.015150327232454729,"(5, 5)",tanh,0.001,0.001
91,0.7255001194201597,0.015752437715332503,"(10,)",relu,0.1,0.001
92,0.8291009147445307,0.009807207166747994,"(5, 5)",tanh,0.001,0.001
93,0.77179362250023,0.013095840844131838,"(10,)",tanh,0.01,0.0001
94,0.7743473658042153,0.012949291846543927,"(10,)",relu,0.001,0.0001
95,0.7105828750142875,0.01660847802723182,"(5, 5)",relu,0.001,0.001
96,0.7320943321688822,0.015374022521174736,"(5,)",relu,0.001,0.001
97,0.7137994403065445,0.016423892357043016,"(10,)",tanh,0.01,0.0001
98,0.7655322202043908,0.013455157392712839,"(5, 5)",tanh,0.01,0.001
99,0.8145963753841522,0.010639564005597313,"(5, 5)",relu,0.01,0.001
100,0.723766674378105,0.015851913114011136,"(5,)",tanh,0.1,0.001
