modelo,r2,mse,hidden_layer_sizes,activation,alpha,learning_rate_init
1,0.8967199535358535,0.00551315244674505,"(10,)",relu,0.01,0.001
2,0.7556266273318801,0.013044801039204489,"(10,)",relu,0.1,0.0001
3,0.8311171354833311,0.00901507125141165,"(3,)",tanh,0.1,0.001
4,0.7134128842589659,0.01529819662602286,"(3,)",relu,0.01,0.0001
5,0.8082979635775293,0.010233172692417882,"(3,)",relu,0.1,0.001
6,0.7299795806728555,0.014413856175029506,"(3,)",tanh,0.001,0.001
7,0.8551709565305066,0.007731063479340797,"(3,)",tanh,0.01,0.001
8,0.7713591748723082,0.012204987968475918,"(3,)",relu,0.001,0.001
9,0.7430109609164055,0.013718233077114526,"(10,)",tanh,0.01,0.001
10,0.739404839557767,0.013910730054723252,"(5,)",tanh,0.1,0.0001
11,0.7374569116063582,0.014014711647674228,"(10,)",tanh,0.1,0.0001
12,0.7392358976599969,0.013919748277206065,"(5,)",tanh,0.01,0.0001
13,0.734269402367427,0.014184862852686865,"(10,)",tanh,0.1,0.0001
14,0.7526072763274289,0.013205975854163068,"(10,)",relu,0.001,0.001
15,0.764153688817931,0.012589621248869217,"(5, 5)",relu,0.1,0.001
16,0.8031595361584171,0.010507465110633774,"(3,)",tanh,0.001,0.001
17,0.7180260630207808,0.015051942304411946,"(3,)",tanh,0.1,0.0001
18,0.7821692402394202,0.011627940025833318,"(5,)",tanh,0.01,0.001
19,0.7160821826626214,0.015155707834344065,"(5, 5)",relu,0.01,0.0001
20,0.7228753376808101,0.01479308503844276,"(5, 5)",relu,0.01,0.001
21,0.7853397625148602,0.011458695595386932,"(5,)",tanh,0.001,0.001
22,0.7102581154983354,0.015466600124152801,"(5,)",relu,0.01,0.001
23,0.7107133270966703,0.01544230064886143,"(10,)",tanh,0.1,0.0001
24,0.7403083468858016,0.013862500277464822,"(10,)",tanh,0.1,0.001
25,0.7928280166556501,0.01105896798050368,"(10,)",relu,0.1,0.0001
26,0.7906315318090231,0.011176217693502436,"(5,)",tanh,0.001,0.001
27,0.8168641477641958,0.00977590450824463,"(5,)",relu,0.001,0.001
28,0.8348581509587534,0.008815373542824781,"(3,)",relu,0.001,0.0001
29,0.8069890504436071,0.01030304328111252,"(10,)",relu,0.001,0.001
30,0.710642010884164,0.0154461075521785,"(10,)",relu,0.1,0.001
31,0.7490595422539119,0.01339535608255598,"(5, 5)",tanh,0.001,0.0001
32,0.8647822267278524,0.0072180079606911215,"(5, 5)",tanh,0.1,0.001
33,0.9072469847057542,0.004951213043750628,"(10,)",tanh,0.01,0.0001
34,0.7938475730382969,0.011004543433284532,"(10,)",relu,0.001,0.0001
35,0.7493460893041599,0.013380060024650635,"(5, 5)",tanh,0.01,0.001
36,0.7195819500109327,0.01496888809926504,"(5,)",relu,0.001,0.001
37,0.9098934687020216,0.0048099420991799475,"(5,)",relu,0.01,0.0001
38,0.827821987722735,0.009190968266959794,"(10,)",tanh,0.001,0.0001
39,0.7344575663341233,0.014174818544334035,"(10,)",tanh,0.001,0.001
40,0.8191403154072597,0.009654401278529139,"(5,)",tanh,0.01,0.001
41,0.8259624768234329,0.00929023010325065,"(5,)",relu,0.001,0.001
