modelo,r2_interno,r2_externo,hidden_layer_sizes,activation,alpha,learning_rate_init
1,0.6709209352126562,-4.850811007601259,"(3,)",relu,0.001,0.001
2,0.7357735530554093,-12.310790402807324,"(10,)",tanh,0.001,0.0001
3,0.7163489954984084,-2536.394070610238,"(10,)",relu,0.01,0.001
4,0.9252309851216068,-15.134690834021288,"(3,)",tanh,0.01,0.001
5,0.7043859180673406,-8.635384467142782,"(10,)",tanh,0.1,0.0001
6,0.7243515888962742,-1343.5673325503649,"(3,)",relu,0.01,0.001
7,0.6013175444745964,-3.464358213991912,"(5,)",tanh,0.1,0.0001
8,0.6095384360865455,-19.481743581080266,"(3,)",tanh,0.001,0.001
9,0.6637104807565283,-52.80281393108464,"(3,)",tanh,0.1,0.001
10,0.9306232212819786,-71.94676404906025,"(10,)",tanh,0.1,0.001
11,0.6992377820407092,-46.61446927301765,"(5, 5)",tanh,0.01,0.001
12,0.7253520303590201,-17.41530144482078,"(3,)",tanh,0.01,0.0001
13,0.6211033534574515,-4.335866659602878,"(5,)",tanh,0.01,0.001
14,0.8097245347219657,-114.5565717777616,"(10,)",relu,0.01,0.0001
15,0.7732710770231098,-57.55334504102518,"(5, 5)",tanh,0.001,0.001
16,0.6617544090015415,-1548.34939043503,"(5, 5)",relu,0.01,0.0001
17,0.6518003106275256,-168.17852484550806,"(5, 5)",relu,0.1,0.0001
18,0.7394174022855797,-20.839017064872063,"(3,)",tanh,0.001,0.001
19,0.8492990306871058,-261.0930020902687,"(5,)",relu,0.001,0.0001
20,0.6595682293531937,-106.98327632413697,"(5,)",relu,0.1,0.001
21,0.6600055280160619,-32.25712219250227,"(5,)",tanh,0.001,0.0001
22,0.7784549880071394,-22.192031591982108,"(5, 5)",tanh,0.001,0.001
23,0.7481679836427773,-70.88076794254971,"(5, 5)",relu,0.01,0.0001
24,0.8728944808061013,-94.24392865791339,"(3,)",tanh,0.01,0.001
25,0.7227445750395595,-272.77882350487675,"(5,)",relu,0.001,0.0001
26,0.8411296726440769,-1247.287666261138,"(5, 5)",relu,0.001,0.0001
27,0.9383390357837976,-5.621223039496658,"(5, 5)",relu,0.01,0.001
28,0.7945152463437816,-4.240196094773009,"(3,)",tanh,0.01,0.001
29,0.8113874521342914,-38.349052472596476,"(3,)",relu,0.001,0.001
30,0.7434906132068844,-53.09516688479245,"(10,)",tanh,0.01,0.001
31,0.6878065212182554,-1289.2658794559281,"(10,)",relu,0.01,0.001
32,0.686505102523536,-75.17683688024188,"(5,)",tanh,0.01,0.0001
33,0.875846646449907,-1277.0179485064796,"(3,)",relu,0.1,0.0001
34,0.6531989732676713,-311.27934809502864,"(10,)",relu,0.001,0.0001
35,0.6049553377254449,-660.2544776340386,"(5,)",relu,0.1,0.0001
36,0.6564536982299105,-1376.1741202698522,"(5,)",relu,0.1,0.001
37,0.6488794501398133,-6.216155990014131,"(5, 5)",tanh,0.01,0.001
38,0.7123700237914758,-46.947336030558894,"(5, 5)",tanh,0.1,0.001
39,0.6964818368559951,-1339.1306926718112,"(5,)",relu,0.01,0.0001
40,0.717459079194761,-273.57754475124364,"(10,)",relu,0.001,0.0001
41,0.8879201789378562,-18.168588241314403,"(10,)",tanh,0.1,0.001
42,0.8629335804536176,-2095.3020774890692,"(10,)",relu,0.001,0.001
43,0.6330483598036799,-855.1361734765676,"(5, 5)",relu,0.001,0.0001
44,0.9559268963243076,-5.791988058047207,"(5,)",tanh,0.1,0.001
45,0.8769890232710316,-77.78751743288555,"(10,)",relu,0.01,0.0001
46,0.9042959041073355,-0.8264249714975169,"(3,)",tanh,0.1,0.001
47,0.8288149737743574,-28.894180104235854,"(5,)",relu,0.1,0.001
48,0.8200651818779476,-97.19707949102,"(5,)",relu,0.001,0.001
49,0.7921205447417593,-6.166701406638523,"(10,)",tanh,0.1,0.0001
50,0.6595476092121197,-2404.465875949414,"(10,)",relu,0.01,0.001
51,0.6278337360164478,-19.385062513104373,"(5, 5)",tanh,0.001,0.0001
52,0.6002792203295272,-120.87149850419259,"(3,)",relu,0.001,0.001
53,0.626076772603999,-11368.04097378648,"(5,)",relu,0.1,0.001
54,0.7131129319187691,-7.066223116841716,"(10,)",tanh,0.01,0.001
55,0.82393698910103,-255.7117275632284,"(10,)",relu,0.1,0.001
56,0.7846510492519478,-8.211192422891063,"(5, 5)",tanh,0.1,0.0001
57,0.7455973327179076,-1.3408426936134785,"(10,)",tanh,0.01,0.0001
58,0.660219151146376,-69.58233467095368,"(10,)",relu,0.01,0.0001
59,0.8684718641727209,-6.895293930292679,"(5, 5)",tanh,0.01,0.0001
60,0.721589461337582,-4813.304594036991,"(5, 5)",relu,0.1,0.0001
61,0.832648005972524,-88.0152149745815,"(3,)",tanh,0.01,0.001
62,0.8017031271782755,-1.7780848282115915,"(3,)",relu,0.01,0.001
63,0.7783571558782381,-3697.4250874946374,"(5,)",relu,0.001,0.001
64,0.7533802144561235,-529.9174778907319,"(10,)",relu,0.1,0.0001
65,0.694374647660779,-366.3694912654277,"(10,)",relu,0.1,0.001
66,0.669619459508886,-124.03773864201115,"(3,)",relu,0.01,0.001
67,0.9279229824846552,-35.08592297870001,"(5,)",tanh,0.001,0.0001
68,0.8594387921117341,-579.0397283016346,"(5,)",relu,0.1,0.0001
69,0.6798625543935788,-13.839638542693573,"(10,)",tanh,0.1,0.0001
70,0.7076075218013673,-5.182119122216299,"(3,)",tanh,0.001,0.001
71,0.6715065506193543,-7.257486219947753,"(5,)",tanh,0.001,0.0001
72,0.859213572284621,-14.623454201121639,"(10,)",tanh,0.001,0.0001
73,0.676242860539559,-361.260488899939,"(10,)",relu,0.1,0.0001
74,0.8854034651158813,-5.034099605289927,"(5,)",tanh,0.1,0.0001
75,0.6698277916085849,-40.23161154057484,"(10,)",tanh,0.001,0.0001
76,0.839475824882155,-123.21166015756322,"(10,)",relu,0.001,0.0001
77,0.8303195875046755,-3.8183141796358386,"(3,)",tanh,0.01,0.0001
78,0.779160044739269,-10.185474805382313,"(10,)",tanh,0.01,0.0001
79,0.7050989313009948,-33.53612088439591,"(3,)",tanh,0.01,0.0001
80,0.6503024470721007,-33.22685621958596,"(3,)",relu,0.01,0.001
81,0.7834874808259429,-42.669789636860116,"(10,)",tanh,0.001,0.001
82,0.607341764740269,-10.204462305284817,"(5,)",tanh,0.01,0.0001
83,0.9176805921483958,-8.628877805998437,"(5, 5)",tanh,0.1,0.001
84,0.7001986334530583,-14.469726793186076,"(5,)",relu,0.1,0.001
85,0.6134957538544592,-13.958956471332577,"(5, 5)",tanh,0.01,0.001
86,0.720711137626384,-757.6966244454238,"(10,)",relu,0.01,0.001
87,0.6066477744187637,-17.708589440970982,"(5,)",tanh,0.01,0.001
88,0.6282742493542777,-4.559494341929645,"(10,)",tanh,0.001,0.0001
89,0.8717089486319002,-949.2422251857796,"(10,)",relu,0.1,0.001
90,0.7842570801030603,-16.669423604856007,"(5, 5)",tanh,0.001,0.0001
91,0.8268134966504991,-9.737958134047393,"(5, 5)",tanh,0.01,0.0001
92,0.6948116537818458,-54.54415267673793,"(10,)",tanh,0.01,0.0001
93,0.722807495633093,-4.931851438241868,"(10,)",tanh,0.01,0.001
94,0.8370329911531276,-39.536275165980044,"(10,)",tanh,0.1,0.0001
95,0.8508555025022603,-9.858604696598784,"(10,)",tanh,0.001,0.0001
96,0.7647035030846362,-41.95592366655218,"(3,)",relu,0.1,0.0001
97,0.6594109914263222,-324.06828137812994,"(5, 5)",relu,0.001,0.0001
98,0.6708289925205795,-86.88916976782481,"(5,)",tanh,0.001,0.001
99,0.7503871600539341,-40.96068432304647,"(5,)",tanh,0.1,0.001
100,0.7214875221855841,-12.695226517943762,"(5, 5)",tanh,0.1,0.0001
