modelo,r2_interno,r2_externo,hidden_layer_sizes,activation,alpha,learning_rate_init
1,0.7652968035765542,-10.691599632745785,"(10,)",tanh,0.001,0.0001
2,0.8386721234897014,-13.848698377263341,"(3,)",tanh,0.01,0.001
3,0.6173156354102941,-456.38571261872187,"(5,)",relu,0.1,0.0001
4,0.6292957546913143,-4220.327861829114,"(10,)",relu,0.01,0.001
5,0.6745926150315689,-612.926973716847,"(3,)",relu,0.001,0.0001
6,0.770215990182985,-18.169956646892473,"(5,)",tanh,0.01,0.001
7,0.8564326252330986,-26.47910697281164,"(5, 5)",tanh,0.01,0.001
8,0.7012111310753667,-56.96064660382926,"(5,)",tanh,0.001,0.0001
9,0.6269570253583094,-4.071098501467675,"(5,)",tanh,0.1,0.001
10,0.9029171516796889,-11.48453282025149,"(3,)",tanh,0.001,0.001
11,0.9094899675769298,-23.035506537758888,"(10,)",tanh,0.01,0.0001
12,0.6456704598829293,-68.36953547360741,"(3,)",tanh,0.01,0.001
13,0.7539174174920663,-386.69493683055583,"(5,)",relu,0.01,0.0001
14,0.9365670489589738,-16.420397887389647,"(5, 5)",relu,0.01,0.001
15,0.7962662803905245,-4.10256319011744,"(3,)",tanh,0.01,0.001
16,0.689215360306725,-43.30927668894959,"(3,)",relu,0.001,0.001
17,0.6278811747105879,-93.78813547104842,"(5,)",tanh,0.01,0.001
18,0.8524172042240425,-62.91675045827633,"(10,)",tanh,0.1,0.0001
19,0.6267672312219877,-732.3755511264122,"(10,)",relu,0.01,0.001
20,0.9164752259905831,-24.515828261589157,"(5, 5)",tanh,0.01,0.001
21,0.7474533987510428,-34.625620593222585,"(3,)",tanh,0.01,0.0001
22,0.6027654833154523,-1238.1314332870766,"(10,)",relu,0.1,0.0001
23,0.6879540288602548,-15.857710723878487,"(3,)",tanh,0.001,0.001
24,0.6781082736413763,-217.2116758657461,"(10,)",relu,0.001,0.0001
25,0.886658775234243,-12.160183254724233,"(3,)",tanh,0.001,0.0001
26,0.8230078588775416,-34.659793855559684,"(3,)",relu,0.1,0.0001
27,0.7809366619161697,-5.799515301720741,"(5, 5)",tanh,0.01,0.0001
28,0.8041862329790712,-20.98970543178063,"(10,)",tanh,0.1,0.001
29,0.8902129560595692,-1385.1024716023219,"(10,)",relu,0.001,0.001
30,0.8286258707324123,-3.4211724365873284,"(5,)",tanh,0.1,0.001
31,0.6800470328140402,-36.190220058177324,"(10,)",relu,0.01,0.0001
32,0.738376050300326,-24.082974204924383,"(3,)",relu,0.01,0.001
33,0.6581945883750357,-319.8781468537622,"(3,)",relu,0.1,0.0001
34,0.6345953671916251,-6.421628856196319,"(10,)",tanh,0.1,0.0001
35,0.9443892625689502,-8.644215864752583,"(3,)",tanh,0.001,0.001
36,0.6328873861104235,-4.619971548404486,"(10,)",tanh,0.01,0.001
37,0.6036442611104127,-35.619735714419825,"(10,)",tanh,0.1,0.0001
38,0.718037084038968,-84.27323155854162,"(5, 5)",relu,0.001,0.0001
39,0.7996475467828259,-25.407299739909053,"(5,)",tanh,0.01,0.0001
40,0.8997746504191533,-17.454161063862582,"(5,)",tanh,0.1,0.0001
41,0.6065951785892495,-4.860796639254294,"(5, 5)",tanh,0.01,0.0001
42,0.6640118436415314,-3155.881976262811,"(5, 5)",relu,0.1,0.0001
43,0.9016934099698082,-2297.859453397158,"(5,)",relu,0.001,0.001
44,0.6791773492537134,-358.9160683471857,"(5,)",relu,0.1,0.001
45,0.6131848180877398,-54.43200709294795,"(3,)",relu,0.01,0.001
46,0.7228693283230894,-24.325432593058387,"(5,)",tanh,0.001,0.0001
47,0.8243293955737145,-423.3644689961078,"(5,)",relu,0.1,0.0001
48,0.6154028506481312,-5.674904453127581,"(3,)",tanh,0.001,0.001
49,0.6203417760102777,-12.60836639259354,"(10,)",tanh,0.001,0.0001
50,0.6835828569684701,-21.765476203376604,"(3,)",relu,0.01,0.001
51,0.6061662790990636,-13.2709914529291,"(10,)",tanh,0.001,0.001
52,0.6219983002295434,-2.2500729695407293,"(3,)",tanh,0.001,0.001
53,0.606863586394957,-5.05638385958845,"(5,)",tanh,0.001,0.001
54,0.6387224903795654,-4.645575136631396,"(5, 5)",tanh,0.1,0.001
55,0.9253885023473424,-60.11953114756053,"(3,)",relu,0.01,0.001
56,0.6024991979962637,-12.511651337239382,"(5,)",tanh,0.01,0.001
