modelo,r2_interno,r2_externo,hidden_layer_sizes,activation,alpha,learning_rate_init
1,0.6455309226753004,-3.3438962574373745,"(5,)",tanh,0.1,0.0001
2,0.6435984066902192,-7.17383491015503,"(10,)",tanh,0.001,0.0001
3,0.6395524883125341,-200.3015308537314,"(10,)",relu,0.001,0.0001
4,0.8125088777995647,-126.55380434369107,"(5,)",relu,0.1,0.0001
5,0.8086431222554291,-11.759304242521718,"(5, 5)",tanh,0.01,0.001
6,0.6393571821826752,-199.7471877261649,"(5, 5)",relu,0.01,0.0001
7,0.666941028934035,-13.063988706789438,"(3,)",tanh,0.01,0.0001
8,0.6502892627482229,-23.031725120911105,"(5, 5)",tanh,0.01,0.001
9,0.6252759835983184,-30.910153840882533,"(5,)",tanh,0.001,0.0001
10,0.8039392944571552,0.3690454718614731,"(5,)",tanh,0.1,0.001
11,0.6327507557494041,-42.70030892728997,"(5,)",relu,0.1,0.0001
12,0.6121261763635429,-480.3238582421244,"(5, 5)",relu,0.01,0.0001
13,0.6431622533408721,-13.10797262212633,"(3,)",tanh,0.001,0.001
14,0.7934721193754339,-1.6362111108256112,"(3,)",tanh,0.1,0.001
15,0.9414385871854323,-13.841963435814582,"(5,)",tanh,0.001,0.0001
16,0.7489872116237267,-19.22231849399587,"(10,)",tanh,0.1,0.0001
17,0.6296949405279944,-3.95065318819515,"(5,)",tanh,0.1,0.001
18,0.665634105781102,-181.5974816009202,"(10,)",relu,0.001,0.0001
19,0.7253060868578383,-27.10558480991763,"(3,)",tanh,0.1,0.0001
20,0.6384649244731442,-1.2101214836594538,"(10,)",tanh,0.001,0.001
21,0.6530928728213687,-4.770483253365121,"(3,)",relu,0.1,0.0001
22,0.8244718830372256,-46.040118526063665,"(5,)",relu,0.001,0.0001
23,0.888277488923185,-107.03827952655692,"(5,)",relu,0.01,0.0001
24,0.730409585383025,-102.82140255304576,"(10,)",relu,0.1,0.001
25,0.7799927200250402,-2.3138020642673225,"(10,)",tanh,0.01,0.001
26,0.8071406914685709,-37.15805379195109,"(10,)",tanh,0.1,0.0001
27,0.7486275617173322,-216.67721971485204,"(10,)",relu,0.01,0.001
28,0.7166258089297608,-159.51094230668133,"(10,)",relu,0.01,0.001
29,0.6666633646530938,-13.13934227318675,"(3,)",tanh,0.01,0.0001
30,0.9556779452094775,-683.0205040585105,"(5,)",relu,0.1,0.001
31,0.9364850986705378,-3.627270843539219,"(10,)",tanh,0.01,0.001
32,0.7096463687937522,-16.75219379640407,"(3,)",relu,0.1,0.0001
