modelo,r2_interno,r2_externo,hidden_layer_sizes,activation,alpha,learning_rate_init
1,0.6037189254006732,-0.2794522541841218,"(10,)",tanh,0.1,0.001
2,0.9420948669299115,-583.0999613604306,"(10,)",relu,0.01,0.0001
3,0.638059526212079,-19.313346949276923,"(5,)",relu,0.1,0.001
4,0.6918984942573236,-9.336943655260633,"(3,)",tanh,0.1,0.0001
5,0.7701597494172625,-574.6917365890832,"(3,)",relu,0.01,0.0001
6,0.7471594089281945,-24.165042428782428,"(5, 5)",tanh,0.001,0.001
7,0.650840079599359,-0.9356912333314393,"(10,)",tanh,0.01,0.001
8,0.9578085604766703,-1.714251731752387,"(10,)",tanh,0.001,0.0001
9,0.746349313465051,-143.20507982686976,"(3,)",relu,0.1,0.001
10,0.6235047480136098,-3.8503002361918055,"(10,)",relu,0.001,0.001
11,0.6240741482774421,-0.489255401392497,"(5, 5)",tanh,0.1,0.0001
12,0.7474241067476973,-39.537609961352686,"(10,)",relu,0.01,0.0001
13,0.8427655405116314,-39.07841828079787,"(5, 5)",relu,0.001,0.001
14,0.8058909522371711,-43.635646023259625,"(10,)",relu,0.1,0.001
15,0.7157082626376363,-29.113176140667818,"(10,)",relu,0.001,0.0001
16,0.8232697807663546,-75.37063515892521,"(10,)",relu,0.01,0.001
17,0.6419968064766535,-0.686527599295381,"(5,)",relu,0.1,0.001
18,0.8232098883568766,-14.377071268345937,"(10,)",relu,0.01,0.001
19,0.6624114519918817,-3.180084667435435,"(5, 5)",relu,0.01,0.001
20,0.9124982071519996,-1.258679718898812,"(10,)",relu,0.001,0.001
21,0.6792426822001343,-39.94720304917451,"(5, 5)",relu,0.1,0.001
22,0.6879851693745874,-0.19458680105200954,"(5,)",tanh,0.01,0.0001
23,0.6530749380505545,-7.173436546374925,"(5, 5)",tanh,0.01,0.001
24,0.9375616525871243,-36.97098421788171,"(10,)",tanh,0.001,0.001
25,0.7734770567118825,-0.754922067869032,"(5, 5)",relu,0.01,0.001
26,0.8157272513451529,-1.361473133604684,"(3,)",tanh,0.1,0.001
27,0.6773816077762798,-3.140724736276539,"(10,)",tanh,0.001,0.0001
28,0.6719233739836568,-282.32742543804557,"(5, 5)",relu,0.001,0.0001
29,0.7114037661173733,-541.1491976166674,"(5,)",relu,0.1,0.001
30,0.6378956172857035,-1.0645545496009134,"(5, 5)",tanh,0.01,0.001
31,0.9039152345123884,-3.179394720694913,"(5,)",relu,0.01,0.001
32,0.9314737111467352,-8.646724269401714,"(3,)",tanh,0.1,0.001
