modelo,r2_interno,r2_externo,hidden_layer_sizes,activation,alpha,learning_rate_init
1,0.7779275566940375,-2.600003954290723,"(3,)",tanh,0.001,0.001
2,0.9243940741684381,-1098.008771873782,"(3,)",relu,0.001,0.0001
3,0.8491031858887856,-31.39038879243992,"(5,)",tanh,0.001,0.0001
4,0.6506884258355827,-188.6192894086453,"(5,)",relu,0.01,0.0001
5,0.842966774028838,-452.124383291113,"(5,)",relu,0.1,0.0001
6,0.7128322985180185,-743.6078345701301,"(10,)",relu,0.01,0.001
7,0.754183779803806,-217.57234583789318,"(10,)",relu,0.1,0.0001
8,0.8326806058953129,-2.648309019754581,"(5, 5)",tanh,0.1,0.0001
9,0.669822140367957,-2.1494457422675923,"(5, 5)",relu,0.01,0.001
10,0.8576799772135686,-13.995224767395925,"(3,)",tanh,0.001,0.001
11,0.8678583252798587,-17.422131756071153,"(5,)",tanh,0.1,0.001
12,0.6028304849557036,-1.2193816834744626,"(5,)",relu,0.1,0.001
13,0.7152144127006668,-38.08082872141946,"(5, 5)",tanh,0.001,0.001
14,0.7756107934238795,-2.3627535195169798,"(5,)",tanh,0.01,0.001
15,0.9106202680831743,-3598.1239937271152,"(10,)",relu,0.001,0.001
16,0.620975330624935,-0.13162691274487148,"(5,)",tanh,0.001,0.001
17,0.7897630390305963,-2.601824503764776,"(5,)",relu,0.001,0.001
18,0.7805988435122871,-345.6807136775222,"(5,)",relu,0.1,0.0001
19,0.7068255577540644,-15.157311871118058,"(10,)",tanh,0.001,0.0001
20,0.7324717037693271,-19.90930780350958,"(10,)",tanh,0.01,0.0001
21,0.6997751086683974,-27.835827703877936,"(10,)",relu,0.01,0.0001
22,0.7634402856105994,-364.54078935809497,"(10,)",relu,0.1,0.001
23,0.6273452613013653,-16.76194927960709,"(5, 5)",tanh,0.001,0.0001
24,0.8002539604245112,-6.668066232656791,"(5, 5)",tanh,0.1,0.001
25,0.7291115709149177,-332.57721902535127,"(5, 5)",relu,0.001,0.001
26,0.7665503937834156,-169.07155643661582,"(5, 5)",relu,0.01,0.001
27,0.7301222851653997,-103.66413508008509,"(3,)",tanh,0.01,0.0001
28,0.7681993805187466,-46.25659249109227,"(5,)",tanh,0.01,0.001
29,0.7389101211089182,-3.4364910585947177,"(10,)",tanh,0.001,0.001
30,0.7567413831992442,-22.69751202384071,"(10,)",tanh,0.01,0.0001
31,0.6100796650286291,-210.72877588340108,"(10,)",relu,0.1,0.0001
32,0.8727569811412045,-41.52007945700051,"(5, 5)",relu,0.1,0.001
33,0.8002142402723565,-25.39089174357044,"(3,)",tanh,0.01,0.001
34,0.924258630395532,-14.463839618334005,"(3,)",tanh,0.1,0.001
35,0.7858905869031333,-11.164978960178003,"(3,)",relu,0.01,0.001
36,0.9034261482689816,-118.37951554297432,"(10,)",relu,0.001,0.0001
37,0.7323799638406929,-8.87021438298722,"(5, 5)",tanh,0.01,0.001
38,0.62970826481546,-16.88304864042106,"(5, 5)",tanh,0.1,0.0001
39,0.968733834810301,-5.810629781822338,"(5,)",relu,0.1,0.001
40,0.8584136865933494,-33.560103363372015,"(10,)",tanh,0.01,0.0001
41,0.7002142876845219,-21.113117356364565,"(10,)",tanh,0.1,0.001
42,0.8324916666239502,-2535.025378836987,"(10,)",relu,0.1,0.0001
43,0.9847108319842381,-5.08983523719671,"(5, 5)",relu,0.001,0.001
44,0.8822162415059456,-3.7367609086680167,"(3,)",tanh,0.01,0.001
45,0.6987218077239026,-108.66511477302323,"(5, 5)",relu,0.001,0.001
46,0.8864110577066255,-138.99096753903353,"(3,)",tanh,0.001,0.0001
47,0.6080549569589833,-18.349608766804273,"(3,)",tanh,0.1,0.001
48,0.8320860652205279,-7.944151959828746,"(3,)",relu,0.1,0.001
49,0.760296275457989,-5.799019017958269,"(5, 5)",tanh,0.1,0.001
50,0.8637265459470203,-208.62800527983637,"(5,)",relu,0.1,0.001
51,0.6091637397423759,-1427.1186329492016,"(5, 5)",relu,0.1,0.0001
52,0.9531938779493527,-37.85655974831446,"(3,)",tanh,0.001,0.001
53,0.7583543772451791,-203.2760245526437,"(10,)",relu,0.001,0.001
54,0.7526239831113557,-151.19710203002833,"(5, 5)",relu,0.1,0.0001
55,0.8064038817822335,-18.80550897626769,"(3,)",tanh,0.1,0.001
56,0.9102911559860117,-3.690441118273535,"(3,)",relu,0.1,0.001
57,0.9162396090129744,-1269.260395057207,"(10,)",relu,0.001,0.001
58,0.8166640665036515,-3.3313020553741586,"(5, 5)",tanh,0.1,0.001
59,0.882553004747107,-17.341698902736805,"(5, 5)",relu,0.001,0.0001
60,0.7534504952834613,-48.14025266468695,"(3,)",tanh,0.001,0.0001
61,0.7062554672370789,-20.72536969685985,"(3,)",tanh,0.1,0.001
62,0.6534288403686767,-8.008200582358981,"(5,)",tanh,0.1,0.0001
63,0.8516830154328983,-3.748965297527688,"(5,)",relu,0.1,0.001
64,0.7529927979010509,-3.620082437227084,"(10,)",tanh,0.01,0.001
65,0.7428938763380057,-2520.2676039328076,"(10,)",relu,0.1,0.0001
66,0.7166089270829361,-0.8268030119984833,"(3,)",tanh,0.1,0.001
67,0.721502257735603,-2.039832434377491,"(5,)",relu,0.01,0.001
68,0.6841315435014637,-30.843686127286258,"(10,)",tanh,0.1,0.001
69,0.6798615613083097,-4.931853398025578,"(5, 5)",tanh,0.001,0.001
70,0.693320920359674,-3.300793944929512,"(5, 5)",tanh,0.01,0.001
71,0.9704614426046416,-7.836501892769126,"(3,)",tanh,0.01,0.001
72,0.656847728982833,-49.040677677548565,"(3,)",relu,0.001,0.001
73,0.6307435684818372,-9.837919022558843,"(5,)",relu,0.1,0.001
74,0.8530772907105241,-130.3054560246836,"(10,)",relu,0.1,0.0001
75,0.6269077935465672,-6.651129920127017,"(5, 5)",relu,0.001,0.001
76,0.8603596782667635,-3.776542709914146,"(3,)",tanh,0.1,0.001
77,0.8844501826279619,-40.94245678167075,"(3,)",relu,0.1,0.001
78,0.786087911651087,-2.2707792221471523,"(5, 5)",tanh,0.01,0.001
79,0.827751092573448,-30.562051248594262,"(5, 5)",tanh,0.1,0.001
80,0.7670599377818317,-7.764691913033333,"(5, 5)",relu,0.01,0.001
81,0.993559317262723,-57.426019848021724,"(5, 5)",relu,0.1,0.0001
82,0.8396449793386271,-2.807380418210161,"(3,)",tanh,0.01,0.001
83,0.9517555705324033,-6.847942951738985,"(3,)",relu,0.01,0.001
84,0.7444830077005703,-14.454733867498357,"(5,)",tanh,0.1,0.001
85,0.6800641021167824,-10.608945829432697,"(10,)",tanh,0.01,0.0001
86,0.8778267316304094,-7.659811113162478,"(5, 5)",tanh,0.001,0.0001
87,0.8210334349671039,-14.839618265891803,"(5, 5)",tanh,0.001,0.001
88,0.6676574819961034,-172.70720191410476,"(5, 5)",relu,0.1,0.001
89,0.7500092420945284,-9.972529805611469,"(5,)",tanh,0.001,0.0001
90,0.6358369132431947,-392.48256937905626,"(10,)",relu,0.1,0.001
91,0.7201616945031398,-23.337676795583455,"(5, 5)",tanh,0.001,0.001
92,0.7642311495279233,-5.857764289297102,"(5,)",tanh,0.001,0.001
93,0.8210147247961974,-1.677289220823706,"(5,)",tanh,0.1,0.001
94,0.7281843413309985,-1437.484984343445,"(5,)",relu,0.1,0.0001
95,0.8744179850173252,-15.316988868238838,"(10,)",tanh,0.01,0.0001
96,0.6768846050688025,-1768.0877919887052,"(5, 5)",relu,0.01,0.001
97,0.9232872361578867,-33.44094730799071,"(3,)",tanh,0.01,0.0001
98,0.9227446660348553,-9.520156085024386,"(5,)",tanh,0.001,0.0001
99,0.7783546021185982,-367.7575209212321,"(5,)",relu,0.001,0.0001
100,0.8711708719672071,-1.0775178051966754,"(5, 5)",tanh,0.1,0.001
