modelo,r2_interno,r2_externo,hidden_layer_sizes,activation,alpha,learning_rate_init
1,0.6419439970056149,-7.667848639751561,"(5, 5)",tanh,0.01,0.001
2,0.7942278496444465,-10.05412355679058,"(3,)",tanh,0.01,0.0001
3,0.6604743589191948,-1282.680063463861,"(3,)",relu,0.001,0.001
4,0.6386116150377823,-5.764056343838674,"(3,)",tanh,0.1,0.001
5,0.7718894939425317,-147.95602525983236,"(3,)",relu,0.01,0.0001
6,0.6730084199454354,-1.3592137453303437,"(10,)",tanh,0.001,0.001
7,0.7901302826168973,-59.6356409408164,"(10,)",relu,0.1,0.0001
8,0.7254576069876375,-6.734243833102709,"(3,)",relu,0.1,0.0001
9,0.9710608051945986,-117.11035075320947,"(3,)",relu,0.1,0.001
10,0.6713919221972175,-10.666108591637038,"(3,)",tanh,0.01,0.0001
11,0.9114148258313838,-215.8143993863558,"(5,)",relu,0.01,0.0001
12,0.8776529019845034,-3.508710411428882,"(3,)",tanh,0.001,0.001
13,0.8878727320627973,-231.8770000784316,"(5, 5)",relu,0.001,0.0001
14,0.8244221492070426,-339.0013333601936,"(5,)",relu,0.001,0.0001
15,0.6693287105314176,-5.615205276104248,"(5,)",tanh,0.001,0.0001
16,0.6277640351401796,-2.9833650205227387,"(5, 5)",relu,0.001,0.0001
17,0.6095462353920539,-38.68686034146425,"(5, 5)",relu,0.01,0.0001
18,0.8585112042926628,-3.39672434550864,"(10,)",tanh,0.1,0.0001
19,0.9370160800303458,-9.472051829681144,"(5,)",tanh,0.1,0.001
20,0.845247860102254,-58.51166983092737,"(3,)",relu,0.1,0.0001
21,0.7969678979476059,-23.86554700004487,"(5, 5)",relu,0.1,0.0001
22,0.6414213691386116,-231.72909156092027,"(3,)",relu,0.01,0.001
23,0.6904994463093375,-4.100567198319766,"(3,)",tanh,0.001,0.0001
24,0.833721853594851,-18.10976129753878,"(3,)",tanh,0.01,0.001
