modelo,r2_interno,r2_externo,hidden_layer_sizes,activation,alpha,learning_rate_init
1,0.8385534651158353,-2.6060714484597075e+32,"(5,)",tanh,0.1,0.0001
2,0.6916804326687906,-7.576297508354567e+31,"(5,)",relu,0.1,0.001
3,0.6224215935857388,-3.491958533865038e+33,"(5, 5)",relu,0.01,0.001
4,0.901354909379937,-3.3412054423210776e+32,"(3,)",relu,0.01,0.001
5,0.616487207794735,-1.6960482798113363e+30,"(10,)",tanh,0.01,0.001
6,0.6749904240780333,-8.394214867626973e+31,"(5,)",tanh,0.01,0.001
7,0.650731570178255,-4.740106891005138e+31,"(3,)",tanh,0.01,0.0001
8,0.62732313696977,-3.6010267076811777e+31,"(5, 5)",tanh,0.001,0.001
9,0.6403165091658067,-1.199830546080108e+32,"(3,)",tanh,0.1,0.001
10,0.9606069908511424,-2.327379566133967e+31,"(5, 5)",tanh,0.01,0.0001
11,0.6854504056620183,-7.325649513272437e+31,"(3,)",tanh,0.01,0.001
12,0.630004791359468,-5.401466706392236e+31,"(5,)",tanh,0.001,0.001
13,0.7820199657619482,-2.7811392784264188e+32,"(10,)",tanh,0.1,0.001
14,0.7299136499766676,-2.6661527341866355e+31,"(5, 5)",tanh,0.01,0.001
15,0.8390601519663916,-1.8845372941608637e+32,"(5, 5)",relu,0.01,0.001
16,0.721041525114345,-2.1822799192689714e+33,"(3,)",relu,0.1,0.001
17,0.8878465524785968,-1.1088608333072372e+32,"(3,)",tanh,0.01,0.001
18,0.7167900085195993,-1.554623452001862e+32,"(10,)",tanh,0.01,0.0001
19,0.8736830625570989,-3.556445073830883e+32,"(5,)",relu,0.1,0.0001
20,0.6157496916200647,-3.353021769382646e+32,"(10,)",relu,0.01,0.0001
21,0.6409316667821933,-1.005942553109633e+34,"(10,)",relu,0.1,0.0001
22,0.76561391196762,-3.829645877032388e+32,"(10,)",tanh,0.01,0.0001
23,0.631676970156613,-1.765751720639066e+32,"(5,)",tanh,0.001,0.001
24,0.6300395341269438,-1.0864744729543312e+32,"(3,)",tanh,0.1,0.0001
25,0.7075739741012164,-4.241678966927431e+32,"(10,)",relu,0.01,0.001
26,0.8930217425047976,-2.83527917848492e+32,"(10,)",tanh,0.1,0.001
27,0.7168891102156972,-4.191423180095005e+31,"(5, 5)",tanh,0.1,0.0001
28,0.6249948623483184,-9.40331012128327e+32,"(10,)",relu,0.01,0.001
29,0.6131917324533454,-6.141309873889138e+31,"(3,)",tanh,0.1,0.001
30,0.6901819667084421,-6.5716811993378715e+31,"(5, 5)",tanh,0.001,0.001
31,0.9097384877538751,-4.777842883149329e+31,"(5, 5)",tanh,0.01,0.001
32,0.7730174851338303,-1.454425677211795e+32,"(3,)",tanh,0.001,0.001
33,0.7396078509362879,-6.384698261406467e+31,"(5,)",tanh,0.01,0.0001
