modelo,r2_interno,r2_externo,hidden_layer_sizes,activation,alpha,learning_rate_init
1,0.7949800409914415,-2.5142126925993777e+32,"(10,)",tanh,0.01,0.001
2,0.9764868357301706,-1.2765424389564866e+33,"(3,)",tanh,0.1,0.0001
3,0.7032910631719872,-1.1052920180431353e+33,"(10,)",tanh,0.001,0.0001
4,0.6297440429587563,-1.3292987129067367e+32,"(10,)",relu,0.1,0.001
5,0.7962191259687433,-4.358000340241091e+32,"(5,)",tanh,0.01,0.0001
6,0.7092260482761186,-1.3601355681186489e+32,"(3,)",tanh,0.001,0.001
7,0.841509325670764,-4.36177837092268e+32,"(10,)",tanh,0.001,0.0001
8,0.7030866880984541,-1.1668654834765565e+32,"(5,)",tanh,0.1,0.001
9,0.7924095471426993,-6.1537090704454954e+32,"(10,)",tanh,0.01,0.0001
10,0.7065418848451152,-6.111972290274731e+32,"(3,)",tanh,0.1,0.0001
11,0.733217201011369,-5.870999711923661e+32,"(5, 5)",tanh,0.01,0.0001
12,0.8172343182361915,-1.6260830846393817e+31,"(5, 5)",tanh,0.001,0.001
13,0.670232374135652,-1.039274250351678e+34,"(5,)",relu,0.01,0.0001
14,0.6479675265569849,-5.316594680483015e+32,"(10,)",tanh,0.1,0.001
15,0.6492535607846621,-7.201337365341419e+32,"(5, 5)",tanh,0.01,0.0001
16,0.7503769259354139,-1.1794604192697169e+33,"(3,)",tanh,0.001,0.0001
17,0.8322311660588444,-5.953283924218235e+32,"(5,)",tanh,0.001,0.0001
18,0.6143141814872428,-1.8461065392563194e+32,"(5, 5)",tanh,0.1,0.0001
19,0.6467562959373628,-1.340661385802372e+33,"(5,)",tanh,0.1,0.001
20,0.8586048932966672,-5.6708784635388275e+32,"(3,)",relu,0.001,0.001
21,0.6051047395810624,-7.848549115069045e+32,"(10,)",relu,0.001,0.001
22,0.9000031968832866,-5.864006971832318e+32,"(5,)",tanh,0.1,0.001
23,0.9172834483039698,-4.076850203700942e+32,"(10,)",tanh,0.1,0.0001
24,0.8384998953247227,-2.220351266920425e+33,"(10,)",tanh,0.001,0.0001
25,0.6422910990972805,-1.822965763506203e+34,"(10,)",relu,0.001,0.0001
26,0.8883472313258975,-5.612650684586898e+32,"(5,)",relu,0.001,0.001
27,0.6146275738419644,-2.4521453602567873e+31,"(5,)",relu,0.01,0.001
28,0.8657364997336052,-7.041172042745094e+32,"(5,)",tanh,0.01,0.001
29,0.7970089478434358,-4.72886251230672e+32,"(10,)",relu,0.001,0.0001
30,0.905572186919478,-1.5222154042384243e+34,"(10,)",relu,0.1,0.0001
31,0.6523762415795586,-9.75195269440264e+32,"(10,)",tanh,0.1,0.0001
32,0.7809497745261795,-3.4990940601060426e+33,"(10,)",relu,0.1,0.001
33,0.6957037429374533,-6.985698392951921e+32,"(5, 5)",tanh,0.01,0.001
34,0.794601399072803,-1.6477783740412757e+32,"(5, 5)",tanh,0.01,0.0001
35,0.7369164281494738,-1.182022020350212e+32,"(5,)",tanh,0.01,0.001
36,0.676196964665726,-2.0659631120762512e+34,"(10,)",relu,0.01,0.001
37,0.7332391379515244,-1.4264829816188948e+33,"(10,)",tanh,0.01,0.001
38,0.7652335587957542,-2.6903513406553524e+33,"(10,)",relu,0.01,0.0001
39,0.7444751381992304,-7.862892869290678e+32,"(10,)",relu,0.1,0.001
40,0.7961130419558049,-1.0315882302739983e+33,"(5,)",tanh,0.01,0.001
41,0.845843506738458,-1.9150077522188277e+32,"(5, 5)",relu,0.001,0.001
42,0.7632496626107985,-1.9245001585062312e+32,"(3,)",relu,0.01,0.001
43,0.8234640919335033,-3.843023630056412e+33,"(10,)",relu,0.001,0.0001
44,0.789724246499099,-1.560249128281731e+32,"(5, 5)",tanh,0.1,0.001
45,0.8221320039437232,-4.5788138180134256e+32,"(5,)",relu,0.01,0.001
46,0.6564374282026302,-1.3963607665955738e+31,"(5,)",relu,0.01,0.001
47,0.8222905458082426,-2.081720280619044e+33,"(10,)",relu,0.001,0.0001
48,0.9090646391916404,-6.4899723784163115e+32,"(10,)",tanh,0.1,0.001
49,0.8763094982222094,-1.259435283155114e+34,"(10,)",relu,0.01,0.0001
50,0.79207438826731,-3.655227199442956e+32,"(3,)",relu,0.1,0.001
51,0.7025313055042343,-7.745114734756937e+33,"(10,)",relu,0.01,0.0001
52,0.6391158395589736,-6.33487811216548e+31,"(3,)",tanh,0.1,0.001
53,0.6215624586369128,-2.090356679703604e+32,"(5,)",tanh,0.1,0.001
54,0.7217315784604983,-8.127830612649964e+32,"(10,)",tanh,0.001,0.001
55,0.6697052813437236,-2.289385388696591e+32,"(5,)",tanh,0.01,0.0001
56,0.6864307166871779,-6.856761076529146e+33,"(5,)",relu,0.1,0.0001
57,0.9256102020548469,-8.088477231841578e+33,"(3,)",relu,0.1,0.001
58,0.9562610473973994,-1.6311749627666626e+32,"(5, 5)",tanh,0.001,0.001
59,0.6742858618668861,-7.39547103271123e+32,"(5, 5)",relu,0.01,0.0001
60,0.6295010462747717,-1.329450910075262e+35,"(5,)",relu,0.01,0.0001
