modelo,r2_interno,r2_externo,hidden_layer_sizes,activation,alpha,learning_rate_init
1,0.6225233133330419,-1.339451374492115,"(5, 5)",tanh,0.001,0.0001
2,0.77277116101758,-94.40216580866947,"(10,)",relu,0.01,0.0001
3,0.603959560820392,-0.32709446477378523,"(5, 5)",relu,0.001,0.001
4,0.6863399177856389,-0.22522492433537433,"(5,)",relu,0.01,0.001
5,0.6427219932800978,-0.17888330561081633,"(5, 5)",tanh,0.1,0.0001
6,0.8375201469905005,-1.567426698997266,"(3,)",tanh,0.1,0.0001
7,0.6302681650156758,-2.069858734918173,"(10,)",tanh,0.001,0.0001
8,0.6354439163383958,-2.3132841366656622,"(5,)",tanh,0.001,0.0001
9,0.7646843516544053,-1.1934373203418849,"(10,)",tanh,0.001,0.001
10,0.7541882179491378,-3.083380732188841,"(10,)",tanh,0.01,0.0001
11,0.8426122460426981,-2.077595134754277,"(5, 5)",relu,0.01,0.0001
12,0.6794916785836,-0.38589281003361053,"(5, 5)",tanh,0.01,0.001
13,0.8276340030174234,-31.831537658098227,"(5,)",relu,0.1,0.001
14,0.8950499001358777,-26.320619310457953,"(10,)",relu,0.1,0.0001
15,0.8144184200411115,2.3318009484518676e-05,"(10,)",tanh,0.001,0.0001
16,0.8102630282511349,-22.912728769071165,"(10,)",relu,0.1,0.001
17,0.6664004884696263,-1.4357302826175027,"(5, 5)",tanh,0.001,0.0001
18,0.6583072114525454,-1.5625858998746929,"(10,)",tanh,0.1,0.0001
19,0.8185038692703954,-0.09737881404266746,"(5, 5)",tanh,0.1,0.0001
20,0.6103570303149415,-3.442657277957064,"(3,)",relu,0.001,0.001
21,0.7179558645934061,-6.091685699012354,"(10,)",relu,0.01,0.0001
22,0.8900926228062068,-16.70646999444836,"(5, 5)",relu,0.001,0.001
23,0.6223430760933786,-2.60483776782549,"(5,)",tanh,0.1,0.001
24,0.7417497871016634,-18.85951463947442,"(3,)",relu,0.01,0.001
25,0.6966520719556362,-4.559559980499808,"(5,)",relu,0.001,0.0001
26,0.6072615409184388,-3.0983562455743705,"(10,)",relu,0.001,0.0001
27,0.6063623687478493,-1.2324743331145136,"(5, 5)",relu,0.1,0.0001
28,0.8710027039623509,-1.0000750526484943,"(5,)",tanh,0.1,0.001
29,0.6287364307709473,-1.3906916432718228,"(5,)",tanh,0.1,0.001
30,0.6573109893963784,-0.26129424621841957,"(5,)",relu,0.01,0.001
31,0.6550098853896109,0.1787556076457295,"(5,)",tanh,0.01,0.0001
32,0.6158724029852645,-0.9966782920713595,"(5, 5)",tanh,0.1,0.001
33,0.9080459294482135,-1.5049956620581955,"(3,)",tanh,0.001,0.001
34,0.7876087343140604,-20.10166444771347,"(10,)",relu,0.001,0.001
35,0.901379051163081,-2.622014610313805,"(3,)",relu,0.001,0.001
36,0.8909153776629737,-0.22161494415973948,"(10,)",tanh,0.1,0.001
37,0.6124313536499773,-0.6907393604797314,"(5, 5)",tanh,0.001,0.001
38,0.6126167744336262,-1.6802629099396342,"(5,)",tanh,0.01,0.0001
39,0.6211168745879112,-2.7235389244595143,"(10,)",relu,0.001,0.001
40,0.6126748127357136,-0.13993691127202745,"(3,)",tanh,0.1,0.0001
41,0.702598022931332,-3.419033628484992,"(10,)",relu,0.001,0.001
42,0.686396287953148,-0.3044869041627023,"(5, 5)",tanh,0.1,0.001
43,0.6713444958216217,-11.466290520744627,"(5, 5)",relu,0.01,0.001
44,0.6906305392924822,-8.459768395166632,"(10,)",relu,0.1,0.001
45,0.7002748443781055,-0.18317774640270734,"(5,)",tanh,0.01,0.0001
46,0.7007015244771504,-0.30039535530324857,"(10,)",tanh,0.01,0.001
47,0.6190415557348263,-1.2653410884501528,"(10,)",relu,0.1,0.001
48,0.626057565818589,-1.0087374333417536,"(5, 5)",tanh,0.01,0.001
49,0.6787601059666768,-0.7680439630607263,"(5,)",tanh,0.001,0.0001
50,0.6889262832576152,-41.08581668947184,"(10,)",relu,0.001,0.0001
51,0.739155618611189,-0.010075265773658693,"(3,)",tanh,0.1,0.001
52,0.6969687210756081,-5.188648570323467,"(5, 5)",relu,0.001,0.001
53,0.8319422656167496,-0.8079588739960573,"(10,)",tanh,0.001,0.0001
54,0.9471711021866702,-43.44772349213836,"(5, 5)",relu,0.001,0.0001
55,0.664732345690358,-0.2575781837225448,"(3,)",relu,0.1,0.001
56,0.7522362880117857,-39.103572900016516,"(3,)",relu,0.01,0.0001
57,0.6368991227041918,0.10183698859300128,"(10,)",relu,0.01,0.001
58,0.6658748357707334,-2.5566868168140116,"(5,)",relu,0.01,0.0001
59,0.8168398139840913,-0.3642225956516012,"(5,)",relu,0.01,0.001
60,0.6889315620572505,-21.605271050060306,"(10,)",relu,0.1,0.001
61,0.6133479161393307,-8.086799775796603,"(10,)",relu,0.01,0.001
