modelo,r2_interno,r2_externo,hidden_layer_sizes,activation,alpha,learning_rate_init
1,0.7861321386226754,-187.4350088080362,"(5,)",tanh,0.1,0.0001
2,0.6135874923405021,-73.22835260722944,"(5,)",tanh,0.01,0.001
3,0.7565636942836901,-194.164572920768,"(3,)",tanh,0.001,0.0001
4,0.6248552668620428,-64.06324847784884,"(5,)",tanh,0.001,0.0001
5,0.6852564078856909,-129.40652563658028,"(3,)",tanh,0.01,0.0001
6,0.9410251062684897,-102.88097034035734,"(3,)",tanh,0.01,0.001
7,0.612673014226167,-1097.2972742878746,"(3,)",relu,0.1,0.0001
8,0.698985528719547,-39.295002867390906,"(10,)",tanh,0.01,0.001
9,0.8081899298637445,-34.011265665525855,"(3,)",tanh,0.001,0.001
10,0.6016504489835038,-984.6052340079352,"(5, 5)",relu,0.01,0.001
11,0.6794358514005521,-53.478959644752585,"(5,)",tanh,0.01,0.0001
12,0.6744385631598397,-40.62518016910257,"(5,)",tanh,0.1,0.0001
13,0.6594972628845397,-5940.22140952877,"(5,)",relu,0.001,0.001
14,0.6025143668048574,-32.85582873127397,"(5,)",tanh,0.001,0.001
15,0.8939428054598129,-7.597204565918505,"(5,)",tanh,0.001,0.0001
16,0.6537754203233425,-5436.490698604824,"(10,)",relu,0.001,0.0001
17,0.8593388477856363,-53.63011756475062,"(10,)",tanh,0.01,0.0001
18,0.6089818911983276,-300.43236305957225,"(5, 5)",relu,0.01,0.0001
19,0.6056817450332648,-117.06271088921699,"(3,)",tanh,0.01,0.001
20,0.6507967592431864,-177.1573266386528,"(5,)",relu,0.001,0.001
21,0.6493550324082773,-49.528502659672014,"(5, 5)",tanh,0.1,0.001
22,0.6050872390073965,-114.660416875026,"(10,)",tanh,0.001,0.001
23,0.7249300958491964,-2558.057672127429,"(10,)",relu,0.01,0.0001
24,0.6319383015067801,-15.328058572427143,"(10,)",tanh,0.01,0.001
25,0.6609102964650655,-35.408739363755984,"(5, 5)",tanh,0.01,0.001
26,0.6742952362546291,-40.90466153133133,"(3,)",tanh,0.001,0.0001
27,0.6384592060600058,-20.091422368881332,"(5,)",tanh,0.01,0.001
28,0.6153483182357089,-107.21115585807746,"(10,)",tanh,0.001,0.001
29,0.6312849663098316,-125.64154846943856,"(3,)",tanh,0.01,0.0001
30,0.7531336415924329,-65.17476125681073,"(5,)",relu,0.1,0.001
31,0.7446050825286927,-17.613496179608866,"(5, 5)",tanh,0.1,0.0001
32,0.6035311119653124,-423.60629623549636,"(5,)",relu,0.1,0.001
33,0.9425228536328774,-66.25923478590752,"(10,)",tanh,0.001,0.0001
34,0.723057940272753,-61.41807757113053,"(5,)",tanh,0.001,0.0001
35,0.631912693464806,-152.18979333348037,"(10,)",tanh,0.01,0.001
36,0.8410684358281312,-45.242504129015764,"(3,)",relu,0.01,0.001
37,0.7183767517076345,-40.9093636829449,"(3,)",tanh,0.001,0.001
