modelo,r2_interno,r2_externo,hidden_layer_sizes,activation,alpha,learning_rate_init
1,0.7388889498109762,-4.546147725205538,"(3,)",tanh,0.01,0.001
2,0.7407278083139188,-273.35555761863554,"(5,)",relu,0.1,0.0001
3,0.8871374288525523,-459.98390013556417,"(10,)",relu,0.001,0.001
4,0.753797559378775,-28.746985122924364,"(3,)",tanh,0.1,0.0001
5,0.6364549256407064,-9.737333800441577,"(5,)",tanh,0.01,0.001
6,0.644822655803017,-2.137502461220079,"(5,)",tanh,0.1,0.001
7,0.800138022843492,-79.1446581135404,"(5,)",relu,0.1,0.0001
8,0.6473730454252139,-9.500268536914179,"(3,)",tanh,0.001,0.001
9,0.6608001110409512,-15.624886594845886,"(5,)",tanh,0.001,0.0001
10,0.6967099748155063,-15.775058936410261,"(10,)",tanh,0.1,0.0001
11,0.6282792081919706,-4.590188159833352,"(5,)",relu,0.01,0.0001
12,0.6562681157377769,-19.04902465867471,"(10,)",tanh,0.01,0.0001
13,0.6472190227489331,-268.444523931493,"(5,)",relu,0.01,0.0001
14,0.9566300949094372,-65.450140839136,"(5,)",tanh,0.01,0.001
15,0.7844943148153304,-18.587215187978888,"(10,)",tanh,0.01,0.001
16,0.7023779723973655,-55.006007152534785,"(10,)",tanh,0.1,0.0001
17,0.6454703904672228,-8.394797695701445,"(10,)",relu,0.001,0.001
18,0.6647407396227769,-27.43428037926629,"(10,)",tanh,0.1,0.001
19,0.8016363713586693,-25.73614336817632,"(3,)",relu,0.1,0.0001
20,0.6228767201272751,-6.514722625388366,"(10,)",tanh,0.01,0.0001
21,0.604260407550135,-7.26482322312901,"(5,)",tanh,0.001,0.001
22,0.6225663886794357,-15.25239291836926,"(10,)",tanh,0.1,0.001
23,0.6720812425152225,-1308.056738182247,"(10,)",relu,0.001,0.001
24,0.6251435557802928,-273.07817080596516,"(5,)",relu,0.01,0.0001
25,0.7764043829540831,-16.791346730262873,"(10,)",relu,0.01,0.0001
26,0.6304649166727992,-3.3003621365895563,"(5,)",tanh,0.01,0.001
27,0.6730714100020503,-7.983954922141946,"(5,)",tanh,0.1,0.0001
28,0.6073874949176958,-21.41768999870752,"(3,)",relu,0.01,0.001
29,0.7833019066896167,-548.8421192475832,"(5, 5)",relu,0.1,0.001
30,0.7489927290098937,-5.5645847429517845,"(3,)",tanh,0.001,0.001
31,0.6563271122432913,-45.713129855360705,"(10,)",tanh,0.1,0.001
32,0.6674586853958886,-10.338136925661535,"(5,)",tanh,0.001,0.001
33,0.6940945973321049,-1651.0751921290132,"(5, 5)",relu,0.1,0.0001
34,0.6577348068565841,-50.34039031015222,"(3,)",tanh,0.01,0.001
35,0.6985151167270951,-247.3016220392498,"(5,)",relu,0.1,0.001
36,0.7839987072318718,-62.03467241750737,"(3,)",relu,0.01,0.001
37,0.6681547096423893,-34.101836238862816,"(10,)",tanh,0.01,0.001
38,0.7745449618932374,-21.961320771305218,"(3,)",relu,0.001,0.001
39,0.6520571657749864,-14.283620621938868,"(3,)",relu,0.01,0.001
40,0.747807644358974,-0.2881463268276794,"(3,)",tanh,0.001,0.001
41,0.6625437597467116,-20.925013302744787,"(10,)",tanh,0.001,0.001
42,0.8135359895327984,-47.859046959848165,"(3,)",relu,0.01,0.001
43,0.6294958127285135,-24.44293733542886,"(5,)",relu,0.1,0.001
44,0.7957392086728631,-193.00927266166693,"(3,)",relu,0.01,0.001
45,0.6975433263540416,-9.033053483925016,"(5,)",tanh,0.001,0.0001
46,0.629837528899986,-12.533853880005795,"(10,)",tanh,0.1,0.0001
47,0.821299980513322,-28.939637056038887,"(3,)",relu,0.1,0.001
48,0.872467040037685,-24.33454323601938,"(5,)",tanh,0.1,0.0001
49,0.6202501051312568,-115.36901515958711,"(5,)",relu,0.01,0.0001
50,0.8489492940038826,-424.90673692549694,"(10,)",relu,0.001,0.0001
51,0.6768834536670076,-203.60964902468743,"(10,)",relu,0.1,0.001
52,0.6006367382914537,-4.694320417063702,"(5, 5)",tanh,0.01,0.001
53,0.7582576259148419,-529.7297609435674,"(3,)",relu,0.1,0.001
54,0.7384238340767633,-1120.5188195923474,"(3,)",relu,0.01,0.0001
55,0.6837124733556537,-22.12401832125331,"(10,)",tanh,0.01,0.001
56,0.7274121877107378,-4.665809154090029,"(10,)",tanh,0.1,0.0001
57,0.6327544144319857,-8.104772037751262,"(3,)",relu,0.1,0.0001
58,0.9253906734847216,-11.47512789991764,"(10,)",tanh,0.001,0.001
59,0.645026979632273,-3.493986682616117,"(10,)",tanh,0.1,0.0001
60,0.8453522604377001,-147.03335027230804,"(3,)",relu,0.1,0.0001
61,0.765999888060352,-24.906539536686775,"(10,)",tanh,0.01,0.0001
62,0.7215712325332189,-246.7272277124302,"(3,)",relu,0.01,0.0001
63,0.6737873053911554,-81.365050308043,"(3,)",relu,0.1,0.0001
64,0.7558624566211771,-24.07950882761772,"(10,)",tanh,0.01,0.001
65,0.6818562633561924,-10.738881511580685,"(10,)",tanh,0.001,0.0001
66,0.6999577778005412,-156.56508860120258,"(3,)",relu,0.01,0.0001
67,0.6010394370599355,-7.759493153559738,"(5,)",tanh,0.1,0.001
68,0.9265468410225478,-39.450811620406505,"(5,)",relu,0.1,0.001
69,0.6554636541433299,-2.986138872813203,"(3,)",tanh,0.01,0.001
70,0.6138090699751471,-63.52241358282241,"(3,)",relu,0.001,0.001
71,0.6697121175029586,-585.8707128275689,"(10,)",relu,0.01,0.001
72,0.619912035376984,-17.77682243326555,"(5,)",tanh,0.001,0.0001
73,0.8910202462991326,-4.275883933069108,"(10,)",tanh,0.1,0.0001
74,0.6195671796285294,-34.066910180927124,"(5, 5)",relu,0.1,0.0001
75,0.6547078636267598,-14.845177823194897,"(10,)",relu,0.001,0.001
76,0.6777984204846073,-2.8961017863799863,"(5, 5)",tanh,0.001,0.0001
77,0.6245645532749058,-263.78423602281526,"(10,)",relu,0.01,0.001
78,0.6603540578914788,-9.130318083615455,"(5, 5)",tanh,0.01,0.0001
