modelo,r2_interno,r2_externo,hidden_layer_sizes,activation,alpha,learning_rate_init
1,0.7917162553852881,-0.5228266897515461,"(5,)",tanh,0.1,0.001
2,0.7401802740553352,-1.1800815220041363,"(3,)",relu,0.1,0.001
3,0.6559370033923562,-14.72114407679028,"(5,)",tanh,0.001,0.001
4,0.6584242407150646,-3.3510682641188527,"(5,)",relu,0.01,0.001
5,0.7490521517996372,-0.3507877292326349,"(10,)",tanh,0.01,0.001
6,0.6373893011429217,-0.8459406580514435,"(5, 5)",relu,0.1,0.001
7,0.6045103009472879,-1.7919848407873094,"(3,)",tanh,0.001,0.001
8,0.8484588506204889,-3.5075252603260756,"(5,)",relu,0.01,0.0001
9,0.9090948201633059,-1.2104399096295935,"(10,)",tanh,0.001,0.001
10,0.6144893224130319,-1.8769229267408836,"(5, 5)",relu,0.1,0.001
11,0.6916600404455964,-0.5686844169911427,"(5,)",tanh,0.1,0.0001
12,0.7858999764947898,-1.6527091376899534,"(5,)",relu,0.01,0.001
13,0.6184444557662667,-10.377721753305632,"(5, 5)",tanh,0.001,0.001
14,0.6603995621963048,-7.518850900422722,"(5, 5)",tanh,0.01,0.001
15,0.6595675117178086,-0.12460342151810533,"(5,)",tanh,0.001,0.001
16,0.8862198377615716,-4.815770653427269,"(10,)",tanh,0.001,0.001
17,0.8741802719383316,-14.241691516169134,"(10,)",relu,0.001,0.0001
18,0.6591122076988578,-8.231643935919326,"(5, 5)",tanh,0.001,0.001
19,0.7370662884654138,-95.89099782839946,"(5, 5)",relu,0.01,0.0001
20,0.7957352816740237,-28.283490479150462,"(10,)",relu,0.001,0.0001
21,0.7044806351009285,-1.029408825144709,"(3,)",tanh,0.001,0.001
22,0.6877589674824978,-1.2928057552349657,"(3,)",relu,0.001,0.001
23,0.9472126975844317,-7.239788940505852,"(5,)",tanh,0.01,0.001
24,0.7560560414927224,-9.372129410907453,"(5, 5)",relu,0.001,0.001
25,0.7120692652926317,-5.651925168749202,"(3,)",tanh,0.001,0.0001
26,0.9215366018383081,-12.441030817369242,"(3,)",tanh,0.1,0.0001
27,0.8293320512768901,-0.9823437906351056,"(3,)",relu,0.1,0.001
28,0.7429271667804056,-4.824305542152339,"(10,)",tanh,0.1,0.001
29,0.6918597598390057,-3.6470904766785974,"(5, 5)",relu,0.1,0.001
30,0.6537266453547514,-0.6824433104127865,"(3,)",relu,0.001,0.001
31,0.6292639904721492,-7.029246041473986,"(5,)",tanh,0.001,0.0001
32,0.6688383347236793,-7.790355525603701,"(5,)",relu,0.001,0.0001
33,0.7093130239626064,-1.7456525430712548,"(10,)",relu,0.01,0.001
34,0.6969696108053096,-0.9389180799553083,"(5, 5)",tanh,0.1,0.001
35,0.7998861397594313,-1.0757830728298248,"(3,)",relu,0.01,0.001
36,0.8155559777353336,-0.6348884578519334,"(5,)",tanh,0.1,0.001
37,0.6293112303072768,-3.292920981793129,"(5,)",relu,0.1,0.001
38,0.69674080477872,-44.34111426076768,"(10,)",relu,0.01,0.001
39,0.8290076557832724,-0.7585037358886062,"(3,)",relu,0.01,0.001
40,0.6403553599277751,-4.219245249706644,"(5,)",relu,0.1,0.0001
41,0.6648261365428458,-10.135462080322549,"(5,)",tanh,0.01,0.0001
42,0.6608228535396408,0.42570348761088284,"(5,)",tanh,0.01,0.001
43,0.9565930651590687,-0.10138377261752352,"(5, 5)",tanh,0.01,0.0001
44,0.6545221899746438,-1.3925714733409529,"(5, 5)",relu,0.001,0.001
45,0.8893935941028858,-0.9446511449274191,"(5,)",tanh,0.01,0.001
46,0.7206246560204157,-7.143828614661047,"(5,)",relu,0.1,0.0001
47,0.698947485024493,-0.7163931270933737,"(10,)",tanh,0.01,0.001
48,0.6902481339175643,-2.81621182008322,"(3,)",tanh,0.01,0.0001
49,0.8231386292541899,-1.7897866516544996,"(3,)",tanh,0.1,0.001
50,0.6280113607901405,-2.371543127916628,"(5,)",relu,0.01,0.001
51,0.6804942275624247,-0.49472161271332205,"(5, 5)",tanh,0.001,0.001
52,0.7030276690093913,-0.837337673353105,"(5, 5)",tanh,0.1,0.001
53,0.7750113508397624,-6.266534736338512,"(3,)",tanh,0.1,0.001
54,0.6529027313216564,-76.11612896379737,"(3,)",relu,0.1,0.001
55,0.6765909290589001,-0.25646006083313067,"(10,)",tanh,0.01,0.001
56,0.6258292247411468,-2.1009079972606197,"(10,)",tanh,0.1,0.001
57,0.7287456685776259,-0.23792750743842772,"(5, 5)",relu,0.01,0.001
58,0.6275244098543078,-0.5296255619919392,"(5, 5)",tanh,0.1,0.001
59,0.6218062767669277,-0.12363042210398256,"(5,)",tanh,0.001,0.0001
60,0.6403765111102848,-76.25949800967346,"(10,)",relu,0.01,0.001
61,0.7277632970496464,-4.405854522741916,"(3,)",relu,0.001,0.001
62,0.7768556948089804,-0.9716330995857352,"(5,)",relu,0.01,0.001
63,0.6186962459610316,-0.18996269691126577,"(10,)",tanh,0.01,0.001
64,0.8160904692891883,-292.10097895072215,"(10,)",relu,0.001,0.0001
65,0.881634160410706,0.32905418216326787,"(3,)",tanh,0.1,0.001
66,0.6570713369506944,-1.163841969431417,"(5,)",relu,0.01,0.001
67,0.7535678890682144,-39.677400279931895,"(5,)",relu,0.1,0.0001
68,0.602757325029935,-0.454657189625993,"(10,)",tanh,0.01,0.0001
69,0.7748579994182052,-2.9009051616137023,"(10,)",tanh,0.01,0.001
70,0.6925953926000301,-1.8024110544285317,"(3,)",tanh,0.01,0.001
71,0.6745022277231387,-6.100459622557742,"(10,)",tanh,0.001,0.0001
72,0.7387423458545026,-184.8493303987146,"(5, 5)",relu,0.1,0.0001
73,0.6890018592527585,-2.1183152380149193,"(3,)",relu,0.01,0.001
74,0.7120040919123438,-0.20464431220730672,"(5,)",tanh,0.1,0.001
75,0.6594947508861588,-2.196895543109523,"(10,)",tanh,0.001,0.001
76,0.8506936972813126,-5.908180071961194,"(10,)",tanh,0.1,0.001
77,0.63509926676032,-7.117771029352523,"(5, 5)",tanh,0.01,0.001
78,0.9686172361262538,-3.3388978381690997,"(3,)",tanh,0.001,0.0001
79,0.678616214732777,-2.704187657299114,"(3,)",tanh,0.1,0.0001
80,0.6781797722270733,-1.4096533503547746,"(3,)",tanh,0.1,0.001
81,0.6555998679747351,0.07287333427879739,"(5,)",tanh,0.001,0.001
82,0.7834257288992033,-3.5991731893631993,"(5,)",relu,0.001,0.001
83,0.8651374639864042,-4.016214054585332,"(10,)",tanh,0.01,0.0001
84,0.8153888285046906,-3.7280148964169584,"(5, 5)",tanh,0.001,0.0001
85,0.623248529936002,-0.7084927853075358,"(5,)",tanh,0.001,0.001
86,0.7381909532539661,-12.774039828348089,"(10,)",tanh,0.001,0.001
87,0.7518191780480779,-166.84070630026545,"(10,)",relu,0.01,0.001
88,0.7606406829451176,-2.959666983819266,"(5,)",relu,0.01,0.001
89,0.735615629036096,-0.4265901168034971,"(5, 5)",tanh,0.01,0.0001
90,0.6570733710205495,-7.795235490678339,"(5, 5)",relu,0.001,0.001
91,0.6778497227103745,-2.3516391185933325,"(3,)",relu,0.001,0.001
92,0.6323546163693996,-2.9221862003058976,"(10,)",tanh,0.01,0.0001
93,0.6190296583637085,-30.164073886026575,"(10,)",relu,0.1,0.0001
94,0.6375789995733326,0.443379464953359,"(5, 5)",tanh,0.01,0.001
95,0.8100481275429807,-0.3050307526169129,"(5, 5)",relu,0.001,0.001
96,0.7265906601277172,-2.6995926721206427,"(5, 5)",relu,0.01,0.001
97,0.6366956626566536,-27.80965537918075,"(3,)",relu,0.001,0.0001
98,0.7451854419551556,-2.69737085937648,"(3,)",relu,0.01,0.001
99,0.7008545533098185,0.23969641987357304,"(3,)",tanh,0.01,0.001
100,0.8480192033010886,-7.356269277315082,"(10,)",tanh,0.001,0.0001
