modelo,r2_interno,r2_externo,hidden_layer_sizes,activation,alpha,learning_rate_init
1,0.6043545823511165,-9.373082926403114,"(5,)",relu,0.01,0.0001
2,0.735668954907255,-740.1197697867012,"(10,)",relu,0.01,0.001
3,0.6432459066692866,-5.2846134584571045,"(5,)",tanh,0.01,0.0001
4,0.9718404671098816,0.181571627836422,"(3,)",tanh,0.1,0.0001
5,0.9338323635484944,-39.270927352496415,"(10,)",relu,0.1,0.0001
6,0.7501594624362196,-3.7157755931145537,"(5,)",relu,0.01,0.001
7,0.7776025540342004,-2.457271823669019,"(5, 5)",tanh,0.01,0.0001
8,0.7831843290813671,-4.818941745206911,"(10,)",tanh,0.001,0.0001
9,0.6605248441878268,-69.28391432260774,"(10,)",relu,0.01,0.0001
10,0.7291838394688246,-3.6985010220973713,"(5, 5)",relu,0.01,0.0001
11,0.678491217935855,-0.5884814023172376,"(3,)",tanh,0.1,0.0001
12,0.7621172439222641,-1.1040001306630765,"(5, 5)",tanh,0.01,0.001
13,0.6208063451579449,-8.567415455404523,"(5,)",tanh,0.01,0.0001
14,0.7365659118684245,-1.7114821952755728,"(10,)",tanh,0.001,0.0001
15,0.6214905052793525,-99.83828302958759,"(5,)",relu,0.1,0.001
16,0.6086852971990224,-1.883995294077328,"(10,)",tanh,0.001,0.0001
17,0.7754097220083741,-17.067556449364314,"(5,)",relu,0.01,0.001
18,0.8841323768074769,-74.76412059613187,"(10,)",relu,0.1,0.0001
19,0.6199763971485761,-9.884644576688366,"(5,)",relu,0.01,0.0001
20,0.69263347617683,-0.6716217333195884,"(3,)",tanh,0.01,0.001
21,0.8856671848207909,-34.23141003376487,"(5,)",relu,0.01,0.001
22,0.7879920812236965,-1.561903791449839,"(5,)",relu,0.1,0.001
23,0.7067657626128403,-8.13747391338598,"(3,)",tanh,0.001,0.001
24,0.7582873803826754,-2.643207420327762,"(10,)",tanh,0.1,0.0001
25,0.8510366506638936,0.15769023163967555,"(5, 5)",tanh,0.1,0.0001
26,0.8267138574170001,-2.3338224845629254,"(10,)",relu,0.01,0.0001
27,0.7659214120854638,-422.50114890998736,"(5, 5)",relu,0.001,0.001
28,0.766299192962062,-0.4559910582078688,"(5,)",tanh,0.001,0.0001
29,0.8692878851504029,-0.9208095616118774,"(5,)",tanh,0.001,0.001
30,0.641383596095682,-10.158639275120485,"(5,)",tanh,0.1,0.001
31,0.9097164500125261,-14.996738484476257,"(5,)",relu,0.001,0.0001
32,0.9017105312931146,-13.8460907662466,"(10,)",relu,0.01,0.0001
33,0.7049488988791799,-219.33857796933955,"(3,)",relu,0.1,0.001
34,0.6218777621410644,-49.45906478174151,"(3,)",relu,0.1,0.001
35,0.8686757986615594,-2.1843491251838034,"(5, 5)",tanh,0.01,0.001
36,0.8290390622871948,-1.611187445575832,"(5,)",tanh,0.01,0.001
37,0.6017862166298616,-2.7026968493300836,"(5, 5)",tanh,0.01,0.001
38,0.6080534947005936,-4.578204702150561,"(5, 5)",relu,0.1,0.001
39,0.7333638628028596,-56.99487948795062,"(5,)",relu,0.001,0.001
40,0.7123030201769621,-16.32604113117162,"(5,)",relu,0.01,0.0001
41,0.8034341064662229,-0.1174132421526688,"(5, 5)",relu,0.001,0.0001
42,0.7627558578160427,-7.220296365985426,"(3,)",relu,0.01,0.001
43,0.69451211737961,-8.10200519526566,"(3,)",tanh,0.01,0.0001
44,0.6021010559573703,-30.314986615517412,"(3,)",relu,0.001,0.0001
45,0.6759210386180668,-19.156235303377162,"(5,)",relu,0.01,0.0001
46,0.7099125232565477,-2.5006845006037928,"(10,)",tanh,0.001,0.001
47,0.6005773553790376,-3.025247959466885,"(10,)",tanh,0.1,0.0001
48,0.6376459324088118,-37.14050970472207,"(5,)",relu,0.01,0.001
49,0.7591761346120249,-0.1148553943861319,"(10,)",tanh,0.1,0.0001
50,0.7367671777481566,-4.711750385542938,"(3,)",relu,0.001,0.001
51,0.616537534169767,-141.97427885617535,"(10,)",relu,0.001,0.0001
52,0.7332706462458066,-23.749644109316204,"(10,)",relu,0.001,0.001
53,0.6513663640881262,-0.6672161049004788,"(3,)",tanh,0.01,0.001
54,0.7309162460406637,-0.8588614585901688,"(10,)",tanh,0.001,0.0001
55,0.9452794020824431,-4.209755324543371,"(10,)",tanh,0.01,0.001
56,0.7819227520900094,-9.04469349489853,"(5,)",relu,0.1,0.0001
57,0.779823752125155,-1.0315950097170496,"(10,)",tanh,0.1,0.0001
58,0.6661415542691307,-4.59775410280875,"(5,)",tanh,0.1,0.0001
59,0.719807946731787,-175.08108746182273,"(10,)",relu,0.01,0.0001
60,0.7830755944879699,-1.5927041894833023,"(3,)",relu,0.01,0.0001
