modelo,r2_interno,r2_externo,hidden_layer_sizes,activation,alpha,learning_rate_init
1,0.8396594408591007,-14.60712801063165,"(3,)",tanh,0.1,0.0001
2,0.8705358107484529,-2.4703062930844584,"(3,)",tanh,0.1,0.001
3,0.6829531460147868,-0.8204471407956453,"(3,)",relu,0.1,0.001
4,0.9647059478402542,-2.0840943352417085,"(5,)",tanh,0.01,0.001
5,0.7255259670411547,-1109.6394493109208,"(5,)",relu,0.001,0.0001
6,0.9184119533262367,-2.3340869405703226,"(5,)",relu,0.01,0.001
7,0.7229302675133826,-1.0515511367902053,"(5,)",relu,0.1,0.001
8,0.8910381145936839,-10.069774349060705,"(10,)",tanh,0.001,0.001
9,0.9074222088376608,-35.213872386189735,"(10,)",tanh,0.1,0.001
10,0.8902160228560372,-405.11060009729795,"(10,)",relu,0.01,0.0001
11,0.6793415112857203,-1.1984850565526046,"(5, 5)",tanh,0.001,0.001
12,0.7508966212863822,0.5775593327017561,"(5, 5)",tanh,0.1,0.001
13,0.6205028026119466,-0.3361581086816028,"(5, 5)",relu,0.001,0.001
14,0.8746677976419108,-19.442766452541747,"(3,)",tanh,0.001,0.0001
15,0.7207404021116812,-4.719113833153637,"(3,)",tanh,0.001,0.001
16,0.9306203095686338,-5.393812309468502,"(3,)",tanh,0.1,0.001
17,0.7282600020146867,-11.875314959188133,"(5,)",tanh,0.01,0.0001
18,0.6690257384780917,-0.43745467954427264,"(5,)",tanh,0.1,0.001
19,0.7162600245079351,-7.473624734923392,"(5,)",relu,0.01,0.001
20,0.9210732245134208,-2.517182842337889,"(10,)",tanh,0.001,0.001
21,0.880970540706539,-28.58939631217863,"(10,)",tanh,0.01,0.0001
22,0.7680485172463856,-2.1397975995159277,"(10,)",tanh,0.01,0.001
23,0.7427298209310234,0.2282170815658714,"(10,)",tanh,0.1,0.001
24,0.9928976766864356,-282.76179543518396,"(10,)",relu,0.1,0.0001
25,0.655259333049248,-346.9092110486748,"(10,)",relu,0.1,0.001
26,0.8458983390722946,-8.433092591134612,"(5, 5)",tanh,0.01,0.0001
27,0.8311660329749802,-3.369640914310189,"(5, 5)",relu,0.001,0.001
28,0.787570766328163,-28.90289630159539,"(5, 5)",relu,0.01,0.001
29,0.8316653378346928,-14.5899852031405,"(3,)",tanh,0.01,0.001
30,0.7352246769286055,-2.835236884311214,"(3,)",relu,0.1,0.001
31,0.7297225936180372,-3.0054833735983477,"(5,)",tanh,0.001,0.0001
32,0.6873960323924714,-8.318748915682782,"(5,)",tanh,0.001,0.001
33,0.9186159697802595,-9.82814167741608,"(5,)",tanh,0.01,0.001
34,0.9962087977345231,-1.4048509523481658,"(5,)",tanh,0.1,0.0001
35,0.9874473524390283,-20.959615201368713,"(10,)",tanh,0.001,0.0001
36,0.8335307240443959,-55.99987351438583,"(10,)",tanh,0.001,0.001
37,0.7767431950522101,-4.660041822461768,"(10,)",tanh,0.01,0.001
38,0.8523771137530407,-0.7382748086098982,"(10,)",relu,0.1,0.001
39,0.8747449677297847,-2.280960439588419,"(5, 5)",tanh,0.001,0.0001
40,0.6514440451578242,-17.17085221048797,"(5, 5)",tanh,0.1,0.0001
41,0.88191338616008,-149.14449463956285,"(5, 5)",relu,0.01,0.001
42,0.6417031017270116,-20.06015712612575,"(3,)",tanh,0.001,0.0001
43,0.7897458074375728,-14.258139182103193,"(3,)",tanh,0.1,0.001
44,0.8545393751072465,-13.625541060694461,"(5,)",tanh,0.001,0.0001
