modelo,r2_interno,r2_externo,hidden_layer_sizes,activation,alpha,learning_rate_init
1,0.8228566821398031,-0.28819188599941703,"(10,)",tanh,0.001,0.0001
2,0.6600782874317435,-4.392181336960411,"(5,)",relu,0.1,0.001
3,0.7394284401182594,-0.5613688755318533,"(5, 5)",tanh,0.01,0.001
4,0.6529596079942948,-0.42521482720370085,"(3,)",tanh,0.01,0.001
5,0.600125170381616,-1.4494136257469883,"(3,)",tanh,0.01,0.001
6,0.692644152452023,-58.060614146409385,"(5,)",relu,0.001,0.001
7,0.7373159913698522,-0.8729226831869488,"(5, 5)",relu,0.001,0.0001
8,0.725331577987609,-5.949617099620631,"(5,)",relu,0.1,0.0001
9,0.6704830006877301,-1.4205093757334226,"(3,)",relu,0.01,0.0001
10,0.8943943185152147,-2.796943869221274,"(5,)",relu,0.1,0.0001
11,0.6989063721806322,-3.0044367453797642,"(3,)",relu,0.1,0.0001
12,0.7468347126573027,-0.4023561838342382,"(3,)",tanh,0.01,0.0001
13,0.7805553250167232,-2.2574550899007138,"(10,)",tanh,0.01,0.001
14,0.862060942764195,-2.4065866691919324,"(5, 5)",tanh,0.01,0.001
15,0.8287264965061188,-0.09343371538737544,"(5, 5)",tanh,0.01,0.0001
16,0.6522031484823159,-27.461510463262734,"(10,)",relu,0.01,0.001
17,0.7074878640920619,-0.6201586735530427,"(10,)",tanh,0.001,0.0001
18,0.7551979782923045,-0.3017954062412156,"(3,)",tanh,0.001,0.001
19,0.7478047198681538,-3.451300276559439,"(3,)",tanh,0.001,0.001
20,0.6242111711587415,-2.0917835951909627,"(10,)",tanh,0.001,0.001
