modelo,r2_interno,r2_externo,hidden_layer_sizes,activation,alpha,learning_rate_init
1,0.6230630701319032,-160.09342472482925,"(10,)",relu,0.001,0.001
2,0.794117709498847,-41.80068687211425,"(5,)",relu,0.1,0.0001
3,0.8562588145706872,-72.87550679045886,"(10,)",relu,0.001,0.001
4,0.6571948496343838,-1.1372431715412263,"(10,)",tanh,0.1,0.0001
5,0.6737258448086159,-30.170177083536167,"(5,)",relu,0.001,0.0001
6,0.8120013321663377,-10.060587563036961,"(5,)",relu,0.1,0.0001
7,0.7327527186135203,-40.24965991551098,"(3,)",relu,0.01,0.0001
8,0.7602620260502958,-6.868401691908743,"(5,)",tanh,0.001,0.0001
9,0.6818242535599639,-7.265383923874968,"(10,)",tanh,0.1,0.0001
10,0.8217234302828362,-5.801174049014992,"(5,)",tanh,0.01,0.001
11,0.7911512299319514,-7.834694232874055,"(10,)",tanh,0.01,0.001
12,0.7106811619569827,-19.948149467179963,"(10,)",tanh,0.1,0.0001
13,0.8822054005095769,-28.495286913345538,"(3,)",relu,0.1,0.001
14,0.6510142130688937,-8.356096765207615,"(10,)",tanh,0.1,0.001
15,0.6128083441584812,-58.63716418696792,"(10,)",relu,0.001,0.0001
16,0.8822168918748966,-6.095733357609032,"(3,)",relu,0.1,0.0001
17,0.6111718765238219,-0.08954458861007653,"(10,)",tanh,0.01,0.0001
18,0.8440935491498237,-4.577031494550235,"(10,)",tanh,0.1,0.001
19,0.8110429382990081,-39.49179114970484,"(5,)",relu,0.01,0.0001
20,0.6342687340304733,-2.693101197674822,"(5,)",tanh,0.01,0.001
21,0.7506580680944659,-0.9334593310472783,"(5,)",tanh,0.1,0.0001
22,0.6333006552795908,-6.394701839835697,"(3,)",relu,0.01,0.001
23,0.7259154357791546,-1.2479553877066105,"(3,)",tanh,0.001,0.001
24,0.8607569596937511,-7.292602864346897,"(3,)",relu,0.01,0.001
25,0.8028722304150604,-2.4119517739557392,"(3,)",tanh,0.001,0.001
26,0.7494874463865585,-9.935910814491672,"(3,)",tanh,0.001,0.001
27,0.6046129792148637,-4.490416400459964,"(10,)",tanh,0.001,0.001
28,0.6940258635926461,-2.3552390565919588,"(3,)",relu,0.01,0.0001
29,0.7891643208985194,-7.339070664824307,"(3,)",relu,0.01,0.001
30,0.7532322777883578,-61.79324023911977,"(5, 5)",relu,0.001,0.0001
31,0.6440188241186888,-91.39053426649944,"(5,)",relu,0.001,0.0001
32,0.676876150292141,-6.046844695423877,"(3,)",tanh,0.1,0.0001
33,0.6518703671478685,-32.21457339236429,"(3,)",relu,0.01,0.001
34,0.9128637280991159,-2.699511509741703,"(5,)",tanh,0.001,0.0001
35,0.7732120373831229,-0.4369536289146221,"(10,)",tanh,0.1,0.0001
36,0.768086931367381,-147.84619037869325,"(10,)",relu,0.1,0.001
37,0.6482712125409607,-5.936646488313725,"(3,)",relu,0.1,0.001
38,0.6565472193094293,-0.9781823777047054,"(5,)",tanh,0.1,0.0001
39,0.7607849000992343,-10.644386181701798,"(10,)",relu,0.001,0.001
40,0.6307520589707736,-1.8117223345165927,"(10,)",tanh,0.01,0.001
41,0.789288557919378,-110.17032237762425,"(10,)",relu,0.001,0.0001
42,0.6710243347262981,-33.17937484933071,"(10,)",relu,0.1,0.001
43,0.6884238181764387,-118.26519375735734,"(3,)",relu,0.1,0.001
44,0.7200084360745933,-0.8805539063776928,"(10,)",tanh,0.01,0.001
45,0.887730469385123,-0.9448143828280864,"(10,)",tanh,0.1,0.0001
46,0.7013625719627662,-1.5746868717114064,"(3,)",relu,0.1,0.0001
47,0.9424432555907115,-5.319924875909372,"(10,)",tanh,0.001,0.001
48,0.6832787595334417,-1.032146567539853,"(5,)",tanh,0.1,0.001
49,0.8685866142872217,-26.924853123872015,"(3,)",relu,0.1,0.0001
50,0.6475942454459567,-2.639316822727441,"(5,)",tanh,0.1,0.0001
51,0.7471286579879857,-61.05081510929177,"(3,)",relu,0.01,0.0001
52,0.6273125033505118,-11.008542126541379,"(3,)",relu,0.1,0.0001
53,0.6514244081413418,-7.71403564988316,"(10,)",relu,0.001,0.001
54,0.966592462422613,-15.919899034706138,"(5,)",relu,0.1,0.001
55,0.7648525386355326,-67.57119025707546,"(10,)",relu,0.01,0.001
56,0.6832784398006099,-666.5557774895246,"(5,)",relu,0.1,0.001
57,0.8655623424738819,0.08068933444790227,"(10,)",tanh,0.1,0.0001
58,0.7072299576572634,-2.1866935301851482,"(10,)",tanh,0.01,0.001
59,0.6769713465603822,-8.808594001744144,"(3,)",tanh,0.01,0.001
60,0.6719371228372419,-1.9748762166086098,"(5,)",relu,0.001,0.001
