modelo,r2_interno,r2_externo,hidden_layer_sizes,activation,alpha,learning_rate_init
1,0.8943965633530429,-10.605007694277788,"(3,)",relu,0.001,0.0001
2,0.7529351782226819,-10.080390492414097,"(5,)",tanh,0.001,0.001
3,0.7607677321774473,-7.460855652736262,"(5,)",tanh,0.01,0.0001
4,0.6770157475012786,-166.713070288966,"(10,)",relu,0.1,0.0001
5,0.6975267957748079,-0.19092772984756867,"(5,)",relu,0.1,0.001
6,0.7726583482742554,-5.976279002973111,"(5, 5)",relu,0.001,0.001
7,0.6158880926786471,0.08109567435206988,"(3,)",relu,0.01,0.001
8,0.606028396704918,-2.086922123234137,"(3,)",tanh,0.1,0.001
9,0.6198822088126699,-2210.118848248289,"(10,)",relu,0.1,0.001
10,0.6553994267989766,-2.1013041578705067,"(3,)",tanh,0.01,0.001
11,0.8236090229574545,-2.754479435571392,"(5, 5)",tanh,0.001,0.0001
12,0.7607181385903672,-3.5610431837170076,"(10,)",tanh,0.1,0.001
