modelo,r2_interno,r2_externo,hidden_layer_sizes,activation,alpha,learning_rate_init
1,0.6517685282784426,-4.52667381147453,"(3,)",tanh,0.1,0.0001
2,0.6780131170205429,-11.900866625947728,"(5,)",tanh,0.01,0.001
3,0.7173346171027978,-0.3814925233016013,"(10,)",tanh,0.01,0.0001
4,0.6201510317317607,-9.343907001517964,"(3,)",relu,0.01,0.001
5,0.8127181001290611,-3.3673586143627317,"(5,)",tanh,0.1,0.0001
6,0.6549955163180622,-10.952194419291,"(10,)",relu,0.001,0.001
7,0.6151675803435483,-0.8952119247934498,"(10,)",tanh,0.1,0.0001
8,0.7127700706894725,-3.4449521850331797,"(10,)",tanh,0.001,0.001
9,0.7292934373205193,-61.33666030963035,"(3,)",relu,0.01,0.0001
10,0.7548858525191662,-23.046923503928376,"(5,)",relu,0.1,0.001
