modelo,r2_interno,r2_externo,hidden_layer_sizes,activation,alpha,learning_rate_init
1,0.6001994009310221,-6.355095166373607,"(3,)",tanh,0.01,0.001
2,0.6189513554743774,-2886.82413324351,"(10,)",relu,0.001,0.001
3,0.8849429104274079,-12.013398673250096,"(3,)",tanh,0.01,0.001
4,0.8976536164928162,-953.2358360622995,"(5,)",relu,0.1,0.0001
5,0.8043158251277632,-1231.2960764427578,"(10,)",relu,0.001,0.001
6,0.827896825447711,-98.578645499141,"(3,)",tanh,0.1,0.0001
7,0.7417816741115919,-56.037232192460756,"(5,)",tanh,0.01,0.001
8,0.7074406698319324,-608.0967908131515,"(5,)",relu,0.001,0.0001
9,0.82599730288282,-255.91353543902767,"(5,)",relu,0.1,0.0001
10,0.7357929147384226,-27.153108174606245,"(5,)",tanh,0.001,0.0001
11,0.7587000551542832,-25.562604444051253,"(10,)",tanh,0.1,0.0001
12,0.9841174197319862,-236.80925620515228,"(5,)",tanh,0.01,0.001
13,0.7768755915274015,-40.926809104405855,"(10,)",tanh,0.01,0.001
14,0.7303514876598598,-133.51129187271567,"(10,)",tanh,0.1,0.0001
15,0.7379382666625507,-2587.2586591480685,"(10,)",relu,0.1,0.0001
16,0.6130311112005702,-479.12730059882284,"(10,)",relu,0.001,0.0001
17,0.9041516321258107,-60.279561409794894,"(3,)",relu,0.1,0.0001
18,0.7014228561038915,-41.739472131261856,"(10,)",tanh,0.01,0.0001
19,0.8316792056028388,-3520.9338843554983,"(10,)",relu,0.001,0.001
20,0.6015844150264062,-8.854834713732656,"(5,)",tanh,0.1,0.001
21,0.6616732656438329,-918.0234036549836,"(5,)",relu,0.01,0.0001
22,0.720948648279925,-34.24155674363533,"(5,)",tanh,0.1,0.0001
23,0.7149083500048596,-48.505891626680686,"(3,)",relu,0.01,0.001
24,0.6002799649422388,-2991.8739559046835,"(10,)",relu,0.01,0.001
25,0.741410453352384,-161.6588653517034,"(5, 5)",relu,0.1,0.001
26,0.8830276852145733,-17.21788515739194,"(3,)",tanh,0.001,0.001
27,0.6666449339203492,-10.246067449338172,"(3,)",tanh,0.1,0.001
28,0.7620405669353308,-108.45017370698089,"(3,)",tanh,0.01,0.001
29,0.640531919056792,-50.23450706011329,"(3,)",relu,0.01,0.001
30,0.6868270791847075,-79.26074588203981,"(3,)",relu,0.1,0.001
31,0.8595976968448817,-221.71813936355323,"(3,)",relu,0.01,0.001
32,0.7624379623919766,-100.77527785170965,"(10,)",tanh,0.01,0.001
33,0.6752125594815223,-70.8081759122834,"(10,)",tanh,0.001,0.001
34,0.6074960253589612,-23.05239356648528,"(5,)",tanh,0.1,0.001
35,0.7335000660543752,-69.12763978151185,"(5,)",relu,0.1,0.001
36,0.692498050696982,-22.07048480660344,"(5,)",tanh,0.1,0.0001
37,0.7423814824013772,-821.1058595516973,"(3,)",relu,0.01,0.001
38,0.6042264337326253,-129.12832911704325,"(3,)",relu,0.1,0.0001
39,0.8458756776343214,-28.11569904050431,"(5,)",tanh,0.001,0.0001
40,0.6827428888158383,-114.72159237399642,"(5,)",tanh,0.1,0.0001
41,0.9939470895516366,-155.78284550633256,"(10,)",relu,0.001,0.001
42,0.6384949070015873,-563.4985441282456,"(3,)",relu,0.1,0.0001
43,0.8780456108328974,-1154.1171526422465,"(10,)",relu,0.001,0.0001
44,0.765854012270284,-93.82615434193028,"(5, 5)",tanh,0.01,0.001
45,0.8192678242660609,-1418.420824529248,"(3,)",relu,0.1,0.001
46,0.7246519191440364,-3429.2559571913093,"(3,)",relu,0.01,0.0001
47,0.8742817391083192,-20.574102445090258,"(10,)",tanh,0.1,0.0001
48,0.728563355343553,-31.39366125351937,"(3,)",relu,0.1,0.0001
49,0.6471555395585388,-914.7377597732648,"(10,)",relu,0.01,0.001
50,0.6567882709209502,-22.23760222500238,"(10,)",tanh,0.1,0.0001
51,0.9307015303969067,-461.2263778526146,"(3,)",relu,0.1,0.0001
52,0.7710997649161447,-48.201524505311355,"(10,)",tanh,0.1,0.001
53,0.6309446664339329,-40.00925350494751,"(10,)",tanh,0.01,0.0001
54,0.7393164201553747,-649.8918941410221,"(3,)",relu,0.01,0.0001
55,0.7303398506120873,-193.79390981180686,"(3,)",relu,0.1,0.0001
56,0.7617039986613205,-55.34410463666488,"(5,)",tanh,0.001,0.001
57,0.7409322057018909,-1002.254604672623,"(5,)",relu,0.1,0.0001
58,0.6544587754980389,-669.0391720543028,"(5, 5)",relu,0.001,0.0001
59,0.6321949576628672,-507.6529746245936,"(3,)",relu,0.01,0.0001
60,0.6375612541389908,-88.39743328149518,"(3,)",tanh,0.01,0.0001
61,0.6362883353533861,-44.296496377540464,"(10,)",relu,0.001,0.001
62,0.784537389899154,-116.24563039836225,"(5,)",relu,0.1,0.001
63,0.6309698816859919,-2.746323785449721,"(5, 5)",tanh,0.1,0.001
64,0.7481817921026279,-22.837385110605535,"(3,)",tanh,0.01,0.001
65,0.8230406181643031,-1537.6638351667389,"(10,)",relu,0.01,0.001
66,0.6882229528632957,-13.923483721429537,"(3,)",tanh,0.1,0.001
67,0.8441166719179494,-27.480790490364637,"(10,)",tanh,0.1,0.0001
68,0.650858575302781,-56.63453651469769,"(5, 5)",relu,0.1,0.0001
69,0.7901994471022507,-12.864146131752884,"(5, 5)",tanh,0.01,0.0001
70,0.6168960713221295,-102.83561960769741,"(5,)",relu,0.001,0.001
