modelo,r2_interno,r2_externo,hidden_layer_sizes,activation,alpha,learning_rate_init
1,0.7298874790567862,-220.79741180957285,"(5,)",tanh,0.1,0.0001
2,0.7237177553949518,-222.72725465318464,"(3,)",tanh,0.001,0.0001
3,0.7297267718910971,-153.22251860230193,"(3,)",tanh,0.01,0.0001
4,0.913800373842025,-121.24128028654344,"(3,)",tanh,0.01,0.001
5,0.6860149693716059,-44.812685880165176,"(10,)",tanh,0.01,0.001
6,0.7685947312748755,-39.76736470921799,"(3,)",tanh,0.001,0.001
7,0.6338560546898779,-64.41574561112965,"(5,)",tanh,0.01,0.0001
8,0.6063334265063078,-45.948159207957765,"(5,)",tanh,0.1,0.0001
9,0.6008834521132984,-6918.295281332049,"(5,)",relu,0.001,0.001
10,0.6276146732565903,-40.21006269644664,"(10,)",tanh,0.01,0.0001
11,0.8529726055687503,-8.888224245505624,"(5,)",tanh,0.001,0.0001
12,0.7947023869733911,-63.062333236435094,"(10,)",tanh,0.01,0.0001
13,0.7795921236090984,-342.7138227558768,"(5, 5)",relu,0.01,0.0001
14,0.6338726050460972,-37.12143668721101,"(10,)",tanh,0.1,0.0001
15,0.6141935139217329,-210.52253971048702,"(5,)",relu,0.001,0.001
16,0.6792526637558898,-60.59798864247404,"(5, 5)",tanh,0.1,0.001
17,0.7371401823815645,-2924.886821690445,"(10,)",relu,0.01,0.0001
18,0.6770932841039703,-17.441407400730746,"(10,)",tanh,0.01,0.001
19,0.7081645416974163,-76.09792399553626,"(5,)",relu,0.1,0.001
20,0.8282147511236972,-24.419770416043008,"(5, 5)",tanh,0.1,0.0001
21,0.6262180545397336,-100.0741222509679,"(10,)",tanh,0.01,0.001
22,0.9491735422798793,-80.69550549527891,"(10,)",tanh,0.001,0.0001
23,0.6650457543630262,-70.61855591262866,"(5,)",tanh,0.001,0.0001
24,0.8005943861444478,-199.47504519563788,"(10,)",tanh,0.01,0.001
25,0.6635425677290339,-75.67303722475222,"(3,)",relu,0.01,0.001
26,0.7221239464875808,-132.15692928710104,"(5,)",relu,0.01,0.001
27,0.7900302220760317,-45.61811814247793,"(3,)",tanh,0.001,0.001
