modelo,r2_interno,r2_externo,hidden_layer_sizes,activation,alpha,learning_rate_init
1,0.8577604254755306,-102.6536131929862,"(5,)",relu,0.1,0.0001
2,0.7906355725142789,-0.04907967819703618,"(5, 5)",tanh,0.01,0.001
3,0.7951452308414688,-48.3001928165786,"(10,)",relu,0.001,0.001
4,0.6582784536832358,-1.844612259882814,"(10,)",tanh,0.1,0.0001
5,0.7424310324737351,-23.799613295299945,"(5,)",relu,0.1,0.0001
6,0.7893696181101559,-13.637004549282295,"(5,)",tanh,0.001,0.0001
7,0.6667365375418526,-34.847285780091276,"(10,)",tanh,0.1,0.0001
8,0.6539726359957594,-679.9466162633768,"(5,)",relu,0.1,0.001
9,0.8922422448582387,-12.097830598889805,"(3,)",relu,0.1,0.0001
10,0.834363452041043,-7.49115507624321,"(10,)",tanh,0.1,0.001
11,0.7354737574983867,-101.6947254521933,"(5,)",relu,0.01,0.0001
12,0.7699781335119047,-5.266221672717781,"(5,)",tanh,0.01,0.001
13,0.7619520561902307,-2.9715875498942315,"(5,)",tanh,0.1,0.0001
14,0.9217895906982265,-168.24988862520425,"(5, 5)",relu,0.1,0.001
15,0.6787026565058389,-2.008775304671319,"(3,)",tanh,0.001,0.001
16,0.734956866091998,-3.8280337823679815,"(3,)",tanh,0.01,0.001
17,0.711606665654817,-11.125480381070195,"(3,)",relu,0.01,0.001
18,0.6274917395037161,-12.393010218093155,"(3,)",relu,0.1,0.001
19,0.6422243355390465,-112.17620657126558,"(5,)",relu,0.1,0.001
20,0.8691945941982606,-17.603305023121646,"(3,)",relu,0.01,0.001
21,0.7095752810989298,-204.38640406317867,"(10,)",relu,0.1,0.0001
22,0.6676160562500014,-8.550749527771593,"(3,)",relu,0.01,0.0001
23,0.633084384447673,-20.142975741371643,"(3,)",relu,0.01,0.001
24,0.8113179061167768,-154.57438728679247,"(5, 5)",relu,0.001,0.0001
25,0.8578073759715112,-131.6532419317238,"(10,)",relu,0.01,0.001
26,0.786047823446148,-219.82040609783851,"(5,)",relu,0.001,0.0001
27,0.6013773727440519,-11.151060803074703,"(3,)",tanh,0.1,0.0001
28,0.6793295856592755,-87.62219840900835,"(3,)",relu,0.01,0.001
29,0.9388413871097046,-4.742066938484023,"(5,)",tanh,0.001,0.0001
30,0.7799884295818066,-3.2862364093680645,"(10,)",tanh,0.1,0.0001
31,0.7229365159100558,-336.11583105760127,"(10,)",relu,0.1,0.001
32,0.8163297068441044,-24.081760226011472,"(3,)",relu,0.1,0.001
33,0.8306530676455942,-288.5929853414255,"(10,)",relu,0.001,0.0001
34,0.6254725875087424,-79.17002045855534,"(10,)",relu,0.1,0.001
35,0.6697339161424182,-3.5148624152095564,"(10,)",tanh,0.01,0.001
36,0.84453259527595,-2.67604339357644,"(10,)",tanh,0.1,0.0001
37,0.6037307233251687,-3.9713786411086645,"(3,)",relu,0.1,0.0001
38,0.6625027006565201,-2.6008458264648557,"(5,)",tanh,0.1,0.001
39,0.6129903662732041,-6.810522257036051,"(10,)",relu,0.01,0.001
40,0.7291195424715788,-60.33995252277994,"(3,)",relu,0.1,0.0001
41,0.8399310814324328,-4.810823896492944,"(5,)",tanh,0.1,0.0001
42,0.6175018899651119,-11.625687480052786,"(10,)",tanh,0.01,0.0001
43,0.6113858133202587,-130.2638660483864,"(3,)",relu,0.01,0.0001
44,0.6951631721623153,-23.734307527046006,"(3,)",relu,0.1,0.0001
45,0.6402589395192607,-16.844883682030158,"(10,)",relu,0.001,0.001
46,0.6744373704127951,-73.0218083060701,"(3,)",relu,0.01,0.0001
47,0.9200492068851208,-30.52183328260458,"(5,)",relu,0.1,0.001
48,0.760484660774153,-142.66032147763397,"(10,)",relu,0.01,0.001
49,0.8378598290275544,0.0690480611563834,"(10,)",tanh,0.1,0.0001
50,0.7612807789156631,0.14986126037786784,"(3,)",tanh,0.001,0.0001
51,0.7308924794198199,-17.92611210845588,"(3,)",tanh,0.01,0.001
52,0.7183154262865827,-1278.559056240339,"(3,)",relu,0.1,0.001
53,0.72186178615636,-4.333523538485906,"(5,)",relu,0.001,0.001
