modelo,r2_interno,r2_externo,hidden_layer_sizes,activation,alpha,learning_rate_init
1,0.7054643072935931,-9.989926893896415,"(10,)",tanh,0.001,0.0001
2,0.8373838771613986,-496.152377215537,"(10,)",relu,0.001,0.001
3,0.848219028657016,-5.1324570920834995,"(3,)",tanh,0.01,0.001
4,0.6225614179962741,-1.053916378084522,"(3,)",relu,0.001,0.001
5,0.9839725489554708,-139.80568683159365,"(5,)",relu,0.1,0.0001
6,0.6394091356103029,-1318.444292573148,"(3,)",relu,0.001,0.001
7,0.6825703799266458,-236.8131508947861,"(10,)",relu,0.001,0.001
8,0.682442989024314,-9.84393626707963,"(3,)",tanh,0.1,0.0001
9,0.6235138854014819,-1.2379239186862838,"(5,)",tanh,0.01,0.001
10,0.7763865407577674,-42.32456078387878,"(5,)",tanh,0.001,0.0001
11,0.881732105095399,-1.2957941252919758,"(5,)",tanh,0.1,0.001
12,0.6356195663942072,-89.3006551961072,"(5,)",relu,0.001,0.0001
13,0.9850420812002747,-29.447760770213883,"(5,)",relu,0.1,0.0001
14,0.9462081482625819,-17.77276185189128,"(5,)",tanh,0.001,0.0001
15,0.7286858130238218,-2.555222051646962,"(5,)",relu,0.01,0.0001
16,0.7127565995825351,-5.6206426139448675,"(3,)",relu,0.1,0.0001
17,0.7330923676883145,-49.11889520229443,"(5,)",relu,0.001,0.0001
18,0.6470490031057048,-130.91054501607152,"(5,)",relu,0.01,0.0001
19,0.6796274371174833,-14.18456165541722,"(10,)",relu,0.01,0.001
20,0.7651219206087365,-6.539143669662045,"(5, 5)",relu,0.01,0.001
21,0.8779717838071301,-19.397774582504876,"(5,)",tanh,0.01,0.001
22,0.9742869747794003,-17.367774830425244,"(10,)",tanh,0.01,0.001
23,0.9446673337631699,-54.710585176904026,"(10,)",tanh,0.1,0.0001
24,0.6909379536093663,-87.02957768953728,"(3,)",relu,0.1,0.001
25,0.7397685886705652,-18.206947760013783,"(10,)",tanh,0.1,0.001
26,0.6201408005456877,-108.65808216134873,"(10,)",relu,0.001,0.0001
27,0.9906486704566699,-12.185932716430695,"(3,)",relu,0.1,0.0001
28,0.903995405936631,-8.109620309323907,"(10,)",tanh,0.1,0.001
29,0.9490710300163563,-721.1726104189979,"(10,)",relu,0.001,0.001
30,0.7096987233455975,-4.245014627890918,"(5,)",tanh,0.1,0.001
31,0.6381230433955662,-132.2539651142277,"(5,)",relu,0.01,0.0001
32,0.8894346360473492,-18.887241915296805,"(10,)",relu,0.01,0.0001
33,0.8118150565871156,-85.08339883939249,"(10,)",relu,0.1,0.001
34,0.9226381225905897,-7.628743692572053,"(5,)",tanh,0.01,0.001
35,0.8400433797682121,-28.217325503784185,"(5,)",relu,0.001,0.001
36,0.719040244185315,-499.1999153284948,"(10,)",relu,0.01,0.001
