modelo,r2_interno,r2_externo,hidden_layer_sizes,activation,alpha,learning_rate_init
1,0.6263370886495889,-0.7511336930337322,"(10,)",tanh,0.1,0.0001
2,0.7262789554291824,-4.127329422123898,"(5, 5)",relu,0.01,0.001
3,0.711074154303504,-13.443721167041794,"(3,)",tanh,0.01,0.001
4,0.6015935759584695,-1083.1595202540095,"(10,)",relu,0.1,0.0001
5,0.6287815968636876,-34.34957541460199,"(3,)",relu,0.1,0.001
6,0.7469211796118149,-132.87055030742422,"(5,)",relu,0.001,0.001
7,0.6015346037581056,-633.6864936787367,"(3,)",relu,0.001,0.0001
8,0.7567729670359489,-3.6205482240583438,"(5, 5)",tanh,0.01,0.001
9,0.6486047666529324,-7.30119585368112,"(5,)",relu,0.1,0.001
10,0.7118061016908622,-62.45338444404868,"(10,)",relu,0.01,0.0001
11,0.699819703097978,-40.77479578931824,"(5, 5)",tanh,0.001,0.001
12,0.6317780822851746,-0.962534787807388,"(5, 5)",tanh,0.1,0.0001
13,0.7366349523427879,-8.059594069769162,"(3,)",tanh,0.001,0.001
14,0.6258641289736977,-15.508207074996879,"(3,)",tanh,0.1,0.0001
15,0.769009295156911,-181.3983252394596,"(5,)",relu,0.001,0.0001
16,0.7904186246052668,-75.90329777923289,"(5,)",relu,0.1,0.001
17,0.720248963271927,-7.056536016150439,"(10,)",tanh,0.001,0.001
18,0.9062943910806619,-35.92411851840708,"(10,)",tanh,0.01,0.0001
19,0.8113419004227993,-38.44758087564986,"(5, 5)",relu,0.01,0.0001
20,0.68734314048742,-18.26641330794852,"(3,)",relu,0.001,0.001
21,0.7007375483921701,-688.635524673568,"(10,)",relu,0.01,0.001
22,0.7448059457161795,-1351.736297411904,"(10,)",relu,0.1,0.0001
23,0.719418935398475,-7.882280641390876,"(10,)",tanh,0.01,0.001
24,0.6948002401810651,-582.3842957841891,"(3,)",relu,0.1,0.0001
25,0.6837565421795254,-5.384279987652176,"(5, 5)",tanh,0.1,0.001
26,0.6993049535234319,-6.583062225406941,"(5, 5)",tanh,0.01,0.0001
27,0.7458625491895415,-9.390920797406906,"(10,)",tanh,0.1,0.001
28,0.6055642069616282,-7.071759705011793,"(5, 5)",relu,0.01,0.001
29,0.6656648804166466,-44.40723133210448,"(10,)",relu,0.01,0.0001
30,0.8560163043473066,-202.06562587481986,"(10,)",relu,0.1,0.001
31,0.77837055109696,-3.486158338447794,"(3,)",tanh,0.1,0.001
