modelo,r2_interno,r2_externo,hidden_layer_sizes,activation,alpha,learning_rate_init
1,0.7380247927841914,-402.2115463758826,"(5,)",relu,0.01,0.0001
2,0.620674266788354,-60.52650926197884,"(10,)",tanh,0.001,0.0001
3,0.6481374151315833,-28.649327521174413,"(10,)",tanh,0.1,0.0001
4,0.6946203191935917,-7100.513754891232,"(10,)",relu,0.001,0.001
5,0.9313363612906316,-89.97179721240221,"(5, 5)",tanh,0.001,0.0001
6,0.6311374335712117,-17.62697728999636,"(5, 5)",relu,0.01,0.001
7,0.720193148188373,-20.256460994815342,"(3,)",relu,0.001,0.001
8,0.9790072184984477,-553.8705898753132,"(5,)",tanh,0.001,0.001
9,0.6639029863685668,-9.790062545885206,"(5,)",relu,0.1,0.001
10,0.6015635971085862,-22847.939817093647,"(10,)",relu,0.01,0.001
11,0.6758130773428677,-24.559006940250065,"(3,)",tanh,0.001,0.001
12,0.8439566136908478,-71.3977384007772,"(5,)",relu,0.001,0.001
13,0.7562402371093929,-55.19610322686095,"(10,)",tanh,0.1,0.0001
14,0.6582586418470813,-9009.847102410544,"(10,)",relu,0.1,0.0001
15,0.8125628278274324,-203.67042131432166,"(3,)",tanh,0.01,0.0001
16,0.6405071370390995,-252.99634533004698,"(3,)",tanh,0.1,0.001
17,0.8221730468749862,-10.692551900762227,"(5,)",tanh,0.1,0.0001
18,0.7500201883569304,-220.9914910545906,"(10,)",tanh,0.001,0.0001
19,0.7002339469627605,-60.30987716703291,"(5, 5)",tanh,0.001,0.001
20,0.6513636051885044,-10022.26089038865,"(5, 5)",relu,0.01,0.0001
21,0.6666530150030635,-123.19844348497904,"(3,)",relu,0.001,0.001
22,0.9248783172266881,-1090.406662689841,"(5,)",relu,0.001,0.0001
23,0.8561360978952528,-47.27029107353375,"(5,)",tanh,0.01,0.001
24,0.6468816719561576,-54.87572940593589,"(5,)",tanh,0.1,0.001
25,0.7268389926441778,-198.78348817321728,"(5, 5)",relu,0.001,0.001
26,0.8253366279710735,-188.07599034220658,"(3,)",tanh,0.001,0.0001
27,0.6538335723509305,-452.617500275545,"(3,)",tanh,0.1,0.0001
28,0.7097054078247924,-13.206490768100654,"(5,)",relu,0.01,0.0001
29,0.8947767436649492,-61.15870524977667,"(10,)",tanh,0.001,0.001
30,0.8157834203501935,-573.6468882099177,"(10,)",relu,0.1,0.001
31,0.6534775689621951,-206.49034172413158,"(5, 5)",tanh,0.001,0.001
32,0.6398103240767385,-958.0978650325945,"(5, 5)",relu,0.001,0.001
33,0.6137946448662234,-185.96216678569658,"(3,)",tanh,0.001,0.001
34,0.7525082956757516,-439.47800050713386,"(3,)",tanh,0.01,0.001
35,0.7345638022699934,-191.27176221202157,"(5,)",tanh,0.001,0.0001
36,0.773382973416548,-2464.60456409943,"(5,)",relu,0.01,0.0001
37,0.8804552548334518,-11824.300440745767,"(10,)",relu,0.001,0.0001
38,0.6145620965113547,-2036.7819203221109,"(10,)",relu,0.1,0.001
39,0.7916130756724286,-12.793446224437654,"(5, 5)",relu,0.001,0.001
40,0.7274706818455166,-22.97754130658389,"(3,)",tanh,0.01,0.001
41,0.9597503035746678,-108.49488135064422,"(3,)",relu,0.001,0.001
42,0.9172342977176724,-4339.469120213486,"(10,)",relu,0.01,0.001
43,0.9626518426340445,-126.57022836439582,"(3,)",relu,0.01,0.0001
44,0.9722962852200039,-440.9372556249202,"(5,)",relu,0.1,0.0001
45,0.7248740119030459,-3081.045954932634,"(5,)",relu,0.1,0.001
46,0.7546790551110658,-0.5993840892489077,"(5, 5)",relu,0.001,0.0001
47,0.7467081777500615,-160.33194127978004,"(3,)",tanh,0.001,0.001
48,0.8635856575286277,-78.10423523625835,"(5,)",tanh,0.01,0.001
49,0.728802274993553,-10.33517171573563,"(5,)",tanh,0.1,0.001
50,0.9372389427891801,-3260.287919939581,"(10,)",relu,0.01,0.001
51,0.7449939406895787,-503.21134010785636,"(3,)",tanh,0.001,0.001
52,0.6862090281885252,-160.09581568442562,"(5,)",tanh,0.01,0.0001
53,0.8248465904941663,-975.5039669781601,"(10,)",relu,0.001,0.0001
54,0.7075054162217489,-3804.993477501865,"(10,)",relu,0.01,0.0001
55,0.6302064895991666,-3011.355204538707,"(10,)",relu,0.1,0.0001
56,0.6173255941959788,-376.20227776268854,"(3,)",tanh,0.1,0.001
57,0.672803036248387,-26.315486731116998,"(5,)",tanh,0.001,0.001
58,0.7300042964577533,-4.397381094901717,"(10,)",tanh,0.01,0.001
59,0.737631944804189,-17.753182346314013,"(5, 5)",relu,0.01,0.001
60,0.7510539326881391,-20.518837022533795,"(5,)",tanh,0.1,0.001
61,0.6520702245775829,-645.1948074838866,"(10,)",relu,0.1,0.001
62,0.6867469449021104,-57.85780243660911,"(5, 5)",tanh,0.001,0.0001
63,0.7612878416731939,-89.16989850665749,"(5, 5)",tanh,0.01,0.001
64,0.6914570511546732,-68.91161187173083,"(3,)",relu,0.01,0.001
65,0.7161917216580093,-10.091543966202458,"(5,)",tanh,0.001,0.0001
66,0.8444503357186349,-44.790222875192896,"(5,)",relu,0.001,0.001
67,0.6406151383190288,-95.83023408554644,"(10,)",tanh,0.01,0.001
68,0.6329291336886433,-16.459914848768797,"(10,)",tanh,0.1,0.0001
69,0.7110395508054754,-1358.8932637564453,"(10,)",relu,0.1,0.001
70,0.7964222426933316,-5.763042073969889,"(3,)",tanh,0.1,0.001
71,0.7374461604242096,-1955.2571622205949,"(3,)",relu,0.001,0.0001
72,0.8056588458871778,-185.74823986077257,"(3,)",relu,0.001,0.001
73,0.6471267495519171,-14013.605157732089,"(5,)",relu,0.1,0.001
74,0.8920276065916808,-2417.466013333479,"(10,)",relu,0.01,0.001
75,0.7110871484564197,-294.6785742788591,"(5, 5)",relu,0.001,0.0001
76,0.6612022119447719,-25.57701341941267,"(5,)",tanh,0.01,0.001
77,0.6576097385984089,-19.62487316797189,"(5,)",tanh,0.001,0.001
78,0.7708584758569065,-184.59826180342083,"(10,)",tanh,0.001,0.0001
79,0.7098548759223594,-98.7209508156586,"(10,)",tanh,0.001,0.001
80,0.740246500401514,-530.6694487640863,"(10,)",relu,0.01,0.0001
81,0.9283113754156073,-15237.7370265355,"(5, 5)",relu,0.1,0.0001
82,0.8879766604529409,-27.34826379942022,"(3,)",tanh,0.1,0.001
83,0.7528636624606153,-174.44138951176217,"(3,)",relu,0.1,0.001
84,0.9219171681198869,-1885.5293462123448,"(10,)",relu,0.1,0.0001
85,0.7235596492292208,-23.395495444810035,"(5, 5)",tanh,0.01,0.001
86,0.8300501955938585,-1623.4236567267576,"(5, 5)",relu,0.01,0.001
87,0.7805531209749926,-196.4563997859251,"(5,)",tanh,0.001,0.0001
88,0.6220272066849528,-584.2641128255065,"(5,)",relu,0.001,0.001
89,0.8961868686209236,-2428.089505906195,"(5,)",relu,0.1,0.0001
90,0.6582403143748898,-127.15864164509759,"(10,)",tanh,0.01,0.0001
91,0.7780785075937144,-18.648708016138123,"(3,)",tanh,0.001,0.001
92,0.6774611284890644,-50.888997090053,"(5,)",tanh,0.001,0.0001
93,0.7345930014000333,-108.54906323834793,"(10,)",tanh,0.001,0.0001
94,0.679284593740079,-75.20413179548628,"(10,)",relu,0.001,0.001
95,0.9267886702371724,-4.067216539268072,"(5, 5)",relu,0.1,0.001
96,0.8176788302583625,-81.41037075293114,"(3,)",relu,0.001,0.001
97,0.7618444734752187,-150.3010993037767,"(3,)",relu,0.01,0.001
98,0.8684663045534634,-91.84401687604276,"(5,)",relu,0.01,0.001
99,0.744221078763839,-138.48825655705025,"(10,)",tanh,0.001,0.0001
100,0.8029653365104745,-329.33319523884387,"(5, 5)",relu,0.01,0.0001
